source_gene,source_lfc,target_gene,target_lfc,lfc_diff
B9J08_004928,-1.395112927,B9J08_05195,-1.39513415981471,2.1232814710003822e-05
B9J08_000990,1.848935452,B9J08_05237,1.84897013139716,3.4679397159953496e-05
B9J08_004310,-1.123351253,B9J08_00330,-1.12340804928885,5.679628885002508e-05
B9J08_000905,1.202104382,B9J08_05245,1.2020428021527,6.157984729981969e-05
B9J08_002694,-1.604115578,B9J08_02470,-1.60418290745965,6.732945965004511e-05
B9J08_001918,-1.162541209,B9J08_00966,-1.16242861710128,0.00011259189871992703
B9J08_004562,1.315432517,B9J08_02038,1.3156623927797,0.00022987577969990625
B9J08_002480,-1.313176259,B9J08_00588,-1.31343747101023,0.00026121201022988316
B9J08_002234,-1.782076538,B9J08_00901,-1.78179194963157,0.0002845883684301498
B9J08_005201,-1.008848625,B9J08_00875,-1.00854138659929,0.00030723840070989716
B9J08_001940,-2.919199546,B9J08_02698,-2.91951930268098,0.00031975668097983245
B9J08_001524,1.243019529,B9J08_04512,1.24339291437746,0.00037338537746012257
B9J08_001834,-1.489213414,B9J08_03811,-1.48959432450463,0.000380910504629961
B9J08_000030,-1.340268862,B9J08_02220,-1.34068145910506,0.00041259710505991976
B9J08_001171,-2.336151385,B9J08_04790,-2.33572285121479,0.00042853378521012786
B9J08_001521,1.114673544,B9J08_04065,1.11510824257338,0.0004346985733800768
B9J08_004292,1.111042668,B9J08_04056,1.11147868230879,0.00043601430879003367
B9J08_000447,-1.341714548,B9J08_05233,-1.34215242212255,0.00043787412255014146
B9J08_002847,1.125504502,B9J08_01144,1.12495168289723,0.0005528191027701634
B9J08_004192,1.643332067,B9J08_04929,1.64389259491914,0.0005605279191400747
B9J08_000874,-1.379814039,B9J08_03456,-1.37923854294557,0.0005754960544299692
B9J08_001875,-1.122794614,B9J08_00330,-1.12340804928885,0.0006134352888500505
B9J08_001482,1.0524964,B9J08_03859,1.05184800435306,0.0006483956469400809
B9J08_004441,-1.296864337,B9J08_05576,-1.29752227334082,0.00065793634082012
B9J08_001526,1.033010158,B9J08_05489,1.03368319850233,0.0006730405023300801
B9J08_001930,-1.526008986,B9J08_00834,-1.52669654043294,0.0006875544329401073
B9J08_003038,-1.09253133,B9J08_05271,-1.09330218580787,0.0007708558078700634
B9J08_005580,1.818105508,B9J08_00451,1.81732831131649,0.0007771966835099509
B9J08_001951,-2.015457446,B9J08_02515,-2.01467848688061,0.0007789591193900769
B9J08_002669,1.860189606,B9J08_04303,1.86098085735779,0.0007912513577899016
B9J08_000512,-1.525857096,B9J08_00834,-1.52669654043294,0.0008394444329400397
B9J08_004101,1.375941014,B9J08_01766,1.37509588515438,0.0008451288456199357
B9J08_005226,-1.08580544,B9J08_04956,-1.08669216156106,0.0008867215610601775
B9J08_004188,-1.266334664,B9J08_02894,-1.26544190286811,0.0008927611318898521
B9J08_003541,-1.094243441,B9J08_05271,-1.09330218580787,0.0009412551921299528
B9J08_005075,-1.575213991,B9J08_04735,-1.57615909108221,0.0009451000822100486
B9J08_004790,1.110531311,B9J08_04056,1.11147868230879,0.0009473713087901903
B9J08_000863,1.236084759,B9J08_05387,1.23704038041396,0.000955621413960106
B9J08_000003,1.040987092,B9J08_04191,1.04000695508276,0.000980136917239971
B9J08_003830,1.131508274,B9J08_01855,1.13051400990471,0.0009942640952900206
B9J08_000834,1.110446375,B9J08_04056,1.11147868230879,0.0010323073087901147
