SRR22376030	group:AR0387_A
SRR22376027	group:AR0382_tnSWI1_B
SRR22376028	group:AR0382_tnSWI1_A
SRR22376029	group:AR0387_B
SRR22376031	group:AR0382_B
SRR22376032	group:AR0382_A
