SRR,strain,condition,aliquot,library
SRR28790270,AR0382,in_vitro,1,IL100194991
SRR28790272,AR0382,in_vitro,2,IL100194992
SRR28790274,AR0382,in_vitro,3,IL100194993
SRR28790276,AR0387,in_vitro,4,IL100194997
SRR28790278,AR0387,in_vitro,5,IL100194998
SRR28790280,AR0387,in_vitro,6,IL100194999
SRR28791430,AR0382,in_vivo,7,IL100258080
SRR28791431,AR0382,in_vivo,8,IL100258081
SRR28791432,AR0382,in_vivo,9,IL100258083
SRR28791433,AR0387,in_vivo,10,IL100258086
SRR28791434,AR0387,in_vivo,11,IL100258085
SRR28791437,AR0387,in_vivo,12,IL100258084
SRR28791438,AR0387,in_vivo,13,IL100258082
