gene_id,log2fc,description
B9J08_001458,4.466069724,SCF1
B9J08_004100,3.676295329,
B9J08_004109,3.139694524,
B9J08_004544,2.976287487,
B9J08_000846,2.865475738,
B9J08_004451,2.859214855,
B9J08_004112,2.557540007,ALS4112
B9J08_002459,2.548008686,
B9J08_000595,2.493072142,
B9J08_001899,2.4828413,
B9J08_000724,2.455685682,
B9J08_001362,2.451522275,
B9J08_002381,2.428297226,
B9J08_004987,2.32189263,
B9J08_001621,2.26987352,
B9J08_004446,2.263328713,
B9J08_004176,2.232642501,
B9J08_001861,2.22866037,
B9J08_000211,2.177339215,
B9J08_002830,2.163892434,
B9J08_004560,2.142302469,
B9J08_002847,2.135264739,
B9J08_001484,2.108894526,
B9J08_002919,2.082422217,
B9J08_002940,2.082323916,
B9J08_000178,2.053001254,
B9J08_001581,2.050865566,
B9J08_003628,2.042873445,
B9J08_000987,2.042729595,
B9J08_004559,2.039970517,
B9J08_002012,2.029473547,
B9J08_004628,2.005229378,
B9J08_001552,1.985906968,
B9J08_004365,1.915348634,
B9J08_002668,1.901935076,
B9J08_002261,1.88528793,
B9J08_005380,1.867264086,
B9J08_002166,1.864983413,
B9J08_000388,1.855629002,
B9J08_004148,1.83859351,
B9J08_002239,1.83719299,
B9J08_004477,1.833153457,
B9J08_004905,1.826470329,
B9J08_004324,1.807221971,
B9J08_002825,1.804897175,
B9J08_004167,1.803291155,
B9J08_004840,1.797889194,
B9J08_000592,1.79647397,
B9J08_003109,1.784507901,
B9J08_005394,1.779222383,
B9J08_000581,1.775123218,
B9J08_000849,1.764802145,
B9J08_002624,1.763382585,
B9J08_003514,1.73567433,
B9J08_001956,1.732207345,
B9J08_000594,1.722071303,
B9J08_000398,1.717495093,SAP7
B9J08_001551,1.708787881,
B9J08_001613,1.707778924,
B9J08_000007,1.691857119,
B9J08_001538,1.683834749,
B9J08_001323,1.679460215,
B9J08_002707,1.67784082,
B9J08_003466,1.668693237,
B9J08_004892,1.66375017,
B9J08_004831,1.662637549,
B9J08_003167,1.661568244,
B9J08_002423,1.647947837,
B9J08_001225,1.645973337,
B9J08_005163,1.636878535,
B9J08_004445,1.629822546,
B9J08_003223,1.626887784,
B9J08_004878,1.605949679,
B9J08_002240,1.604067237,
B9J08_004545,1.595640047,
B9J08_001588,1.594240477,
B9J08_002734,1.584046947,
B9J08_000792,1.567479605,
B9J08_000017,1.556398803,
B9J08_003007,1.544645383,
B9J08_003454,1.542102818,
B9J08_001255,1.54170909,
B9J08_002735,1.539355861,
B9J08_003374,1.530226507,
B9J08_000030,1.521147411,
B9J08_001181,1.517429093,
B9J08_002560,1.509810326,
B9J08_002773,1.506839098,
B9J08_003462,1.501982437,
B9J08_000829,1.489677831,
B9J08_005080,1.48179137,
B9J08_002255,1.479092963,
B9J08_004104,1.467950744,
B9J08_000501,1.45714685,
B9J08_004637,1.455691341,
B9J08_002652,1.446867331,
B9J08_002165,1.445820057,
B9J08_001831,1.435245935,
B9J08_000474,1.432039859,
B9J08_003392,1.422306814,
B9J08_000847,1.421952238,
B9J08_002201,1.416522057,
B9J08_000925,1.416370167,
B9J08_001235,1.415491933,
B9J08_005147,1.408937939,
B9J08_002027,1.405541296,
B9J08_004877,1.395486403,
B9J08_004458,1.386041936,
B9J08_005081,1.382096582,
B9J08_002256,1.374025612,
B9J08_002628,1.37311386,
B9J08_004351,1.372323598,
B9J08_003258,1.370250439,
B9J08_003969,1.36947042,
B9J08_004027,1.366286944,
B9J08_003912,1.361620139,
B9J08_003750,1.358237911,
B9J08_000928,1.351057419,
B9J08_004366,1.349407636,
B9J08_001291,1.348252744,
B9J08_000010,1.348217905,
B9J08_004940,1.341791862,
B9J08_000995,1.339178093,
B9J08_000591,1.338872988,
B9J08_003694,1.334458586,
B9J08_002334,1.33277781,
B9J08_003909,1.329375075,
B9J08_003019,1.320976477,
B9J08_004367,1.315577686,
B9J08_005002,1.304963101,
B9J08_001352,1.299671292,
B9J08_005199,1.299319137,
B9J08_004934,1.293572647,
B9J08_004479,1.291279426,
B9J08_001968,1.278800312,
B9J08_000873,1.274521382,
B9J08_000292,1.274437913,
B9J08_003280,1.268298455,
B9J08_003397,1.267915606,
B9J08_001889,1.264981697,
B9J08_003448,1.26239266,
B9J08_002576,1.258610252,
B9J08_002351,1.257597594,
B9J08_002669,1.257299921,
B9J08_000905,1.251078542,
B9J08_003689,1.245533059,
B9J08_001371,1.245010872,
B9J08_003709,1.241074103,
B9J08_000615,1.240361827,
B9J08_002886,1.233352339,
B9J08_003186,1.225429528,
B9J08_002330,1.211410784,
B9J08_002279,1.209253555,
B9J08_002149,1.180406083,
B9J08_001834,1.180190254,
B9J08_003564,1.170491127,
B9J08_000397,1.167505209,
B9J08_004971,1.161945383,
B9J08_003337,1.16151282,
B9J08_000690,1.159640301,
B9J08_002577,1.158977743,
B9J08_002763,1.158379483,
B9J08_000348,1.153755243,
B9J08_001132,1.153198487,
B9J08_003955,1.1527933,
B9J08_004551,1.149526839,
B9J08_003227,1.148941738,
B9J08_000043,1.148308091,
B9J08_001721,1.145112246,
B9J08_000032,1.140238408,
B9J08_004135,1.133536067,
B9J08_005107,1.128255748,
B9J08_002842,1.121847349,
B9J08_004316,1.120148103,
B9J08_001041,1.113519943,
B9J08_004524,1.111695308,
B9J08_000814,1.106923919,
B9J08_005255,1.105090148,
B9J08_000029,1.103844648,
