gene_id,log2fc,description
B9J08_004113,1.098371596,
B9J08_001116,1.097689995,
B9J08_004939,1.090402173,
B9J08_000071,1.088904288,
B9J08_001480,1.088880736,
B9J08_005386,1.081505886,
B9J08_001008,1.075983637,
B9J08_001224,1.070122346,
B9J08_005302,1.068930939,
B9J08_004988,1.066356975,
B9J08_003744,1.062372202,
B9J08_002972,1.061141096,
B9J08_004098,1.05257018,
B9J08_005514,1.04998236,
B9J08_003948,1.041778477,
B9J08_004750,1.04142699,
B9J08_000824,1.036064202,
B9J08_004584,1.034695349,
B9J08_004847,1.030892129,
B9J08_001615,1.01645477,
B9J08_002259,1.013420443,
B9J08_001364,1.013349827,
B9J08_004883,1.008898745,
B9J08_004793,1.006019951,
B9J08_000593,1.001919155,
B9J08_003070,1.001819233,
B9J08_005078,-1.004787823,
B9J08_000169,-1.0297991,
B9J08_003190,-1.030146379,
B9J08_002262,-1.033051491,
B9J08_000645,-1.036971715,
B9J08_004475,-1.053056284,
B9J08_002110,-1.063100053,
B9J08_002481,-1.106242813,
B9J08_000634,-1.106976514,
B9J08_000777,-1.132879158,
B9J08_000844,-1.133775112,
B9J08_005322,-1.134620932,
B9J08_003016,-1.138794075,
B9J08_002556,-1.140094892,
B9J08_001686,-1.153937693,
B9J08_003585,-1.165568286,
B9J08_003914,-1.186082517,
B9J08_001428,-1.23190944,
B9J08_000036,-1.247620596,
B9J08_001952,-1.267775146,
B9J08_001894,-1.325015274,
B9J08_003903,-1.331949267,
B9J08_004360,-1.348717312,
B9J08_001670,-1.369156845,
B9J08_003408,-1.374410495,
B9J08_003684,-1.389846509,
B9J08_002218,-1.446723892,
B9J08_005563,-1.468112392,
B9J08_004468,-1.512088409,
B9J08_002616,-1.532016802,
B9J08_000701,-1.54217742,
B9J08_000918,-1.544175523,
B9J08_002108,-1.553393822,
B9J08_001792,-1.589386486,
B9J08_001292,-1.607702924,SOD4
B9J08_005006,-1.654381752,
B9J08_001948,-1.659633114,
B9J08_004797,-1.68511348,
B9J08_002217,-1.789220392,
B9J08_004886,-1.836682685,
B9J08_001450,-1.868066331,
B9J08_002295,-1.903880159,
B9J08_004378,-1.919507359,
B9J08_001519,-1.993662445,
B9J08_000656,-2.051568767,MGD1
B9J08_002974,-2.093548366,
B9J08_002582,-2.156327898,
B9J08_004884,-2.701784466,
B9J08_003908,-2.75666127,
B9J08_001548,-2.888970624,
B9J08_001549,-3.152345182,
B9J08_001546,-3.233771041,SAP3
B9J08_002136,-8.756698989,
