gene_id,log2fc,description
B9J08_001458,8.611549656,SCF1
B9J08_004451,6.809597233,
B9J08_000592,5.991984446,
B9J08_001515,5.163949028,
B9J08_004112,5.069252626,ALS4112
B9J08_004100,4.965966819,
B9J08_005072,4.733923989,
B9J08_001581,4.336657823,
B9J08_003891,4.000801888,
B9J08_001899,3.890896381,
B9J08_001155,3.88616764,
B9J08_004109,3.624762839,
B9J08_004446,3.552788117,
B9J08_002630,3.374752104,
B9J08_004545,3.32557288,
B9J08_004602,3.251021232,
B9J08_003657,3.082734328,
B9J08_002333,3.062818239,
B9J08_004098,3.041084229,
B9J08_002660,3.040690684,
B9J08_004544,2.978247066,
B9J08_004204,2.973014424,
B9J08_004066,2.854418732,
B9J08_000117,2.758624087,
B9J08_004161,2.570438646,ERG5
B9J08_001362,2.522523949,
B9J08_001660,2.513548103,
B9J08_002256,2.496233047,
B9J08_000005,2.457678612,
B9J08_004842,2.413905046,
B9J08_000008,2.304913816,
B9J08_002886,2.298180043,
B9J08_000724,2.258819336,
B9J08_004479,2.236139057,
B9J08_001673,2.142481412,
B9J08_000398,2.121091351,SAP7
B9J08_002227,2.089244844,
B9J08_000266,1.914482416,
B9J08_003694,1.892605862,
B9J08_002251,1.878771708,
B9J08_004135,1.858636846,
B9J08_001132,1.742351286,
B9J08_004514,1.679008015,
B9J08_003910,1.629414231,
B9J08_000594,1.623024118,
B9J08_002055,1.549234935,
B9J08_003563,1.49771691,
B9J08_004097,-1.421728708,
B9J08_004775,-1.55091249,TPO3
B9J08_001952,-1.640500652,
B9J08_004798,-1.642345188,
B9J08_003449,-1.69101864,
B9J08_000170,-1.74827222,
B9J08_002217,-1.828012597,
B9J08_002951,-1.872277898,
B9J08_002218,-1.899580713,
B9J08_004830,-2.029188872,
B9J08_005317,-2.116388369,
B9J08_004444,-2.122859656,
B9J08_000834,-2.183136408,
B9J08_001948,-2.186250054,
B9J08_003491,-2.322053946,
B9J08_001520,-2.395215112,
B9J08_000221,-2.424533076,
B9J08_003903,-2.460713295,
B9J08_004365,-2.518487576,
B9J08_000438,-2.530768008,
B9J08_004200,-2.633439453,
B9J08_002244,-3.032463794,
B9J08_005560,-3.077447365,
B9J08_003908,-3.441573375,
B9J08_003981,-4.034310333,MDR1
B9J08_000656,-4.267964232,MGD1
B9J08_002480,-5.266080783,
B9J08_001549,-6.124676706,
B9J08_002136,-10.0,
