Run	Sample Name	strain
SRR28791430	group:82_RNA_inVivo_blueink	AR0382
SRR28791431	group:RNA_invivo_82_blackink	AR0382
SRR28791432	group:82	AR0382
SRR28791433	group:87-1	AR0387
SRR28791434	group:87-2	AR0387
SRR28791437	group:87-3	AR0387
SRR28791438	group:RNA_invivo_87	AR0387
