Gene_ID_v3	Paper_LFC	Our_LFC
B9J08_03708	8.611549656	-8.66898378965657
B9J08_05205	6.809597233	-6.73645735660014
B9J08_02550	5.991984446	-6.0159483076448
B9J08_03765	5.163949028	-5.16523312760799
B9J08_01957	4.965966819	-4.95385346799881
B9J08_00052	4.336657823	-4.31135228764287
B9J08_01749	4.000801888	-3.94731434264175
B9J08_00369	3.890896381	-3.88399219040262
B9J08_03405	3.88616764	-3.89354298384147
B9J08_04863	3.624762839	-3.62069777236312
B9J08_05200	3.552788117	-3.54730895468264
B9J08_04504	3.32557288	-3.31999215733934
B9J08_04561	3.251021232	-3.24070417462471
B9J08_01515	3.082734328	-3.08641857444563
B9J08_01955	3.041084229	-3.04016188874064
B9J08_04503	2.978247066	-2.97577323547409
B9J08_04958	2.973014424	-2.92796799764379
B9J08_01923	2.854418732	-2.84790029976802
B9J08_02076	2.758624087	-2.74723054889734
B9J08_00130	2.513548103	-2.51546990901421
B9J08_05266	2.496233047	-2.47516383318213
B9J08_01967	2.304913816	-2.28858652011735
B9J08_00745	2.298180043	-2.29293155118523
B9J08_02682	2.258819336	-2.25621733135384
B9J08_02356	2.121091351	-2.1090628182482
B9J08_01552	1.892605862	-1.88386765114517
B9J08_03382	1.742351286	-1.73864237616378
B9J08_04473	1.679008015	-1.66275694319909
B9J08_02552	1.623024118	-1.6131246335802
B9J08_03128	1.549234935	-1.5484660404024
B9J08_03025	-1.640500652	1.64032854848996
B9J08_04758	-1.642345188	1.64961569511907
B9J08_01308	-1.69101864	1.68651158753798
B9J08_02129	-1.74827222	1.74759759689622
B9J08_03290	-1.828012597	1.83195332071796
B9J08_03291	-1.899580713	1.9178759700679
B9J08_04790	-2.029188872	2.04671927181612
B9J08_04200	-2.116388369	2.11569667825072
B9J08_05198	-2.122859656	2.13525452200934
B9J08_02792	-2.183136408	2.1852034787209
B9J08_03021	-2.186250054	2.17740512232035
B9J08_01350	-2.322053946	2.3263828460095
B9J08_03770	-2.395215112	2.38795354355841
B9J08_02180	-2.424533076	2.43040796932482
B9J08_01761	-2.460713295	2.47777788312986
B9J08_05119	-2.518487576	2.52335658685592
B9J08_02396	-2.530768008	2.52798454718226
B9J08_05254	-3.032463794	3.03753377735194
B9J08_05240	-3.077447365	3.08414389609116
B9J08_01766	-3.441573375	3.47339385357565
B9J08_01838	-4.034310333	4.04180792245621
B9J08_02614	-4.267964232	4.28168980098756
B9J08_05490	-5.266080783	5.25529010728817
B9J08_00020	-6.124676706	6.08888454580532
B9J08_03209	-10.0	14.9824626770075
