Gene_ID_v2	Gene_ID_v3	log2FoldChange
B9J08_003209	B9J08_03209	8.68280713297541
B9J08_004863	B9J08_04863	-3.13207526596757
B9J08_001957	B9J08_01957	-3.66163701815853
B9J08_000369	B9J08_00369	-2.47672994400211
B9J08_003708	B9J08_03708	-4.52534576872077
B9J08_001749	B9J08_01749	-4.91422117000111
B9J08_005199	B9J08_05199	-1.61407649507316
B9J08_004503	B9J08_04503	-2.97057186311409
B9J08_002553	B9J08_02553	-2.47748451223147
B9J08_005114	B9J08_05114	1.35013245457707
B9J08_005200	B9J08_05200	-2.27105241649982
B9J08_003961	B9J08_03961	1.02050766105846
B9J08_005249	B9J08_05249	-1.83568089456884
B9J08_000052	B9J08_00052	-2.10462633443761
B9J08_005078	B9J08_05078	-1.80677195531926
B9J08_001119	B9J08_01119	-1.34671106368491
B9J08_000017	B9J08_00017	3.25330251694845
B9J08_000020	B9J08_00020	3.15447844994017
B9J08_000684	B9J08_00684	-1.8062899796605
B9J08_001770	B9J08_01770	-1.36687424293538
B9J08_001373	B9J08_01373	-1.72245699104071
B9J08_003730	B9J08_03730	-1.08822212728956
B9J08_000967	B9J08_00967	-1.77454842392874
B9J08_000777	B9J08_00777	-2.08467969610516
B9J08_002807	B9J08_02807	-1.76990717618026
B9J08_004436	B9J08_04436	-1.80256448202355
B9J08_000191	B9J08_00191	-1.1389207060226
B9J08_003612	B9J08_03612	-2.43208674837238
B9J08_004504	B9J08_04504	-1.57349713513474
B9J08_004852	B9J08_04852	-1.66859866509081
B9J08_002346	B9J08_02346	-1.87124672771145
B9J08_003823	B9J08_03823	-1.36422614129561
B9J08_002682	B9J08_02682	-2.45399636095207
B9J08_003505	B9J08_03505	-1.54889304322353
B9J08_000140	B9J08_00140	1.35732307245377
B9J08_003885	B9J08_03885	-1.29618847177609
B9J08_004438	B9J08_04438	-1.30128019121782
B9J08_003889	B9J08_03889	1.65794757277454
B9J08_002603	B9J08_02603	1.03903904613147
B9J08_004046	B9J08_04046	-1.63770881565681
B9J08_005587	B9J08_05587	-1.15327017090202
B9J08_002614	B9J08_02614	2.04758294429988
B9J08_002356	B9J08_02356	-1.74062349372997
B9J08_000512	B9J08_00512	-1.44741236356092
B9J08_004082	B9J08_04082	-1.2956503341565
B9J08_003871	B9J08_03871	-1.20204472560311
B9J08_005361	B9J08_05361	-1.24977760857609
B9J08_004518	B9J08_04518	-2.05789269687294
B9J08_003239	B9J08_03239	-1.86126891444713
B9J08_000689	B9J08_00689	-2.16878136606335
B9J08_003021	B9J08_03021	1.68553554052913
B9J08_001766	B9J08_01766	2.74490657608704
B9J08_004866	B9J08_04866	-2.56386321731239
B9J08_002549	B9J08_02549	-1.34452332786592
B9J08_005289	B9J08_05289	-1.197074339866
B9J08_000877	B9J08_00877	-1.30992528436176
B9J08_000798	B9J08_00798	-2.07370003715992
B9J08_002551	B9J08_02551	-1.01380221738842
B9J08_002552	B9J08_02552	-1.72600623821264
B9J08_003290	B9J08_03290	1.80100844353899
B9J08_001989	B9J08_01989	-1.52352429167063
B9J08_003382	B9J08_03382	-1.15425651322782
B9J08_005250	B9J08_05250	-1.58678857711498
B9J08_001761	B9J08_01761	1.34258351411534
B9J08_005269	B9J08_05269	-1.01147767931492
B9J08_002750	B9J08_02750	-1.57172511172435
B9J08_001552	B9J08_01552	-1.33292015273342
B9J08_003964	B9J08_03964	-1.39351143622252
B9J08_003542	B9J08_03542	1.62869643795301
B9J08_002306	B9J08_02306	-1.16447199287934
B9J08_004263	B9J08_04263	-1.87407354916174
B9J08_002802	B9J08_02802	1.15728106263638
B9J08_005570	B9J08_05570	-1.50760743122686
B9J08_005266	B9J08_05266	-1.30981851968298
B9J08_005132	B9J08_05132	1.92305880221601
B9J08_000091	B9J08_00091	-2.27191362092571
B9J08_000874	B9J08_00874	1.14246469985124
B9J08_003678	B9J08_03678	1.24399603762753
B9J08_002886	B9J08_02886	-1.3513345144286
B9J08_005391	B9J08_05391	-2.43208918009917
B9J08_005586	B9J08_05586	-1.28660005791254
B9J08_001025	B9J08_01025	-1.66471045594313
B9J08_001048	B9J08_01048	1.03254733416411
B9J08_004428	B9J08_04428	-6.84682422308199
B9J08_002735	B9J08_02735	1.12742838922908
B9J08_001988	B9J08_01988	-1.10484842946907
B9J08_002128	B9J08_02128	1.0096265844091
B9J08_002539	B9J08_02539	-1.77316197294078
B9J08_001608	B9J08_01608	-1.35983000871145
B9J08_005592	B9J08_05592	2.1846289601079
B9J08_005305	B9J08_05305	1.85028870224233
B9J08_005272	B9J08_05272	1.0386382705779
B9J08_003541	B9J08_03541	-1.34487785974733
B9J08_000566	B9J08_00566	-1.67605925078074
B9J08_003025	B9J08_03025	1.27595890285121
B9J08_002355	B9J08_02355	-1.16341753228333
B9J08_005212	B9J08_05212	-1.39176035917461
B9J08_003870	B9J08_03870	-2.32123285107709
B9J08_001235	B9J08_01235	-1.53179972883158
B9J08_002251	B9J08_02251	-1.26941882892743
B9J08_005119	B9J08_05119	-1.9149059012429
B9J08_004867	B9J08_04867	-1.0459003462155
B9J08_001307	B9J08_01307	-1.29979617912558
B9J08_003222	B9J08_03222	-1.18696603384255
B9J08_002030	B9J08_02030	-1.08524396074416
B9J08_004587	B9J08_04587	-1.97741487231221
B9J08_002876	B9J08_02876	1.5466056003379
B9J08_005243	B9J08_05243	1.41009687371593
B9J08_002170	B9J08_02170	-2.17057144692929
B9J08_004434	B9J08_04434	1.03028753923445
B9J08_001253	B9J08_01253	-1.43914630325576
B9J08_002137	B9J08_02137	-2.05547768665806
B9J08_005224	B9J08_05224	1.55641861055864
B9J08_003238	B9J08_03238	-1.44866888624536
B9J08_000009	B9J08_00009	-1.6943085198094
B9J08_004930	B9J08_04930	-2.2599662471688
B9J08_003573	B9J08_03573	-1.65875436699529
B9J08_003322	B9J08_03322	-1.01708880539681
B9J08_003085	B9J08_03085	-2.03318230422716
B9J08_001602	B9J08_01602	-1.05940007073273
B9J08_000331	B9J08_00331	-2.221312660722
B9J08_003100	B9J08_03100	-1.4026385217694
B9J08_002945	B9J08_02945	-2.04956675673229
B9J08_000262	B9J08_00262	1.56391266280174
B9J08_000019	B9J08_00019	2.88641182752832
B9J08_000745	B9J08_00745	-1.23162965589899
B9J08_004396	B9J08_04396	-1.04195219074017
B9J08_000528	B9J08_00528	-1.89599081756048
B9J08_000436	B9J08_00436	-1.09271924526921
B9J08_000484	B9J08_00484	-1.75801271958464
B9J08_004277	B9J08_04277	-1.76325871079045
B9J08_002550	B9J08_02550	-1.76575260957672
B9J08_004843	B9J08_04843	-1.0196186185282
B9J08_000832	B9J08_00832	2.10444100583688
B9J08_003734	B9J08_03734	-2.10667711419122
B9J08_004902	B9J08_04902	-1.8430400610337
B9J08_003475	B9J08_03475	-1.6292549112241
B9J08_002883	B9J08_02883	-1.42060137248746
B9J08_005340	B9J08_05340	-1.20388820064779
B9J08_003474	B9J08_03474	-1.06490814972325
B9J08_002592	B9J08_02592	1.08753149666634
B9J08_001198	B9J08_01198	-1.1563032912559
B9J08_001995	B9J08_01995	1.29429791689043
B9J08_005344	B9J08_05344	-1.3371832607738
B9J08_003700	B9J08_03700	1.82149923551478
B9J08_000706	B9J08_00706	-2.13319747565428
B9J08_003485	B9J08_03485	-1.41730814008843
B9J08_001141	B9J08_01141	-1.27014589691281
B9J08_005469	B9J08_05469	-2.54979867351162
B9J08_003274	B9J08_03274	-1.41034588887494
B9J08_003990	B9J08_03990	-1.13068950787511
B9J08_005120	B9J08_05120	-1.34208562169167
B9J08_003614	B9J08_03614	-1.02882740137858
B9J08_004519	B9J08_04519	-2.13135769563341
B9J08_003788	B9J08_03788	-1.83184296175359
B9J08_000364	B9J08_00364	1.3509125793113
B9J08_001966	B9J08_01966	-1.69017336727112
B9J08_000928	B9J08_00928	-1.00257019610872
B9J08_003963	B9J08_03963	-1.48710298287731
B9J08_004791	B9J08_04791	-1.65540124982475
B9J08_002659	B9J08_02659	1.54061879905715
B9J08_000058	B9J08_00058	-1.59877238237568
B9J08_005566	B9J08_05566	1.12702593823877
B9J08_005271	B9J08_05271	-1.88841220175583
B9J08_004753	B9J08_04753	-1.04224955404068
B9J08_004838	B9J08_04838	-1.58579363650372
B9J08_001812	B9J08_01812	-1.16882205400813
B9J08_001486	B9J08_01486	-2.03750514883453
B9J08_000156	B9J08_00156	1.15239871400406
B9J08_002782	B9J08_02782	-1.05854242314212
B9J08_002573	B9J08_02573	-1.24766916024278
B9J08_004596	B9J08_04596	-1.4395428141223
B9J08_004844	B9J08_04844	2.66340182127735
B9J08_000301	B9J08_00301	-1.43945595596895
B9J08_004030	B9J08_04030	-1.40595524324375
B9J08_002648	B9J08_02648	-1.16652060913354
B9J08_001547	B9J08_01547	-1.24822893444555
B9J08_002953	B9J08_02953	-1.32968596968246
B9J08_005265	B9J08_05265	-1.48930463976744
B9J08_004858	B9J08_04858	-1.57491630020624
B9J08_003431	B9J08_03431	-1.52246835503027
B9J08_001321	B9J08_01321	-1.48830645271559
B9J08_004138	B9J08_04138	-1.12421290766089
B9J08_004889	B9J08_04889	-1.1707739700113
B9J08_002432	B9J08_02432	-1.43343290599199
B9J08_005491	B9J08_05491	1.11210918583232
B9J08_005222	B9J08_05222	1.52013119910265
B9J08_004807	B9J08_04807	-1.03108932449781
B9J08_000083	B9J08_00083	-1.70272811127097
B9J08_001991	B9J08_01991	-1.14346660083593
B9J08_004800	B9J08_04800	-1.77837004436854
B9J08_004269	B9J08_04269	-1.08837724365583
B9J08_001088	B9J08_01088	-1.14683569691615
B9J08_003621	B9J08_03621	-1.24332895518682
B9J08_001313	B9J08_01313	-1.54784911356912
B9J08_004710	B9J08_04710	-1.03392241487236
B9J08_003822	B9J08_03822	-1.10130893983314
B9J08_000488	B9J08_00488	-1.38691562896107
B9J08_005121	B9J08_05121	-1.32008228149621
B9J08_000622	B9J08_00622	-1.15437182160033
B9J08_004921	B9J08_04921	-1.80328850795046
B9J08_001767	B9J08_01767	-1.31640423873237
B9J08_003181	B9J08_03181	1.57290698049345
B9J08_003366	B9J08_03366	-1.10568870813074
B9J08_002863	B9J08_02863	-1.25125054047124
B9J08_002772	B9J08_02772	-1.0980896087346
B9J08_002787	B9J08_02787	-1.48706429525067
B9J08_001567	B9J08_01567	-1.2598331692881
B9J08_001969	B9J08_01969	-1.34781413774799
B9J08_000359	B9J08_00359	-1.26220499090192
B9J08_000304	B9J08_00304	-1.18495770304133
B9J08_005070	B9J08_05070	-1.11093034236336
B9J08_004205	B9J08_04205	1.12975456107095
