Run	Sample Name	strain
SRR28790270	82_Bio_1	AR0382
SRR28790272	82_Bio_2	AR0382
SRR28790274	82_Bio_3	AR0382
SRR28790276	87_Bio_1	AR0387
SRR28790278	87_Bio_2	AR0387
SRR28790280	87_Bio_3	AR0387
SRR28791430	82_RNA_inVivo_blueink	AR0382
SRR28791431	RNA_invivo_82_blackink	AR0382
SRR28791432	82	AR0382
SRR28791433	87-1	AR0387
SRR28791434	87-2	AR0387
SRR28791437	87-3	AR0387
SRR28791438	RNA_invivo_87	AR0387
