Gene_ID_v2	Gene_ID_v3	LFC
B9J08_003891	B9J08_03891	4.951269586
B9J08_001458	B9J08_01458	4.466069724
B9J08_004100	B9J08_04100	3.676295329
B9J08_004109	B9J08_04109	3.139694524
B9J08_004544	B9J08_04544	2.976287487
B9J08_000846	B9J08_00846	2.865475738
B9J08_004451	B9J08_04451	2.859214855
B9J08_004112	B9J08_04112	2.557540007
B9J08_002459	B9J08_02459	2.548008686
B9J08_000595	B9J08_00595	2.493072142
B9J08_001899	B9J08_01899	2.4828413
B9J08_000724	B9J08_00724	2.455685682
B9J08_001362	B9J08_01362	2.451522275
B9J08_002381	B9J08_02381	2.428297226
B9J08_004987	B9J08_04987	2.32189263
B9J08_001621	B9J08_01621	2.26987352
B9J08_004446	B9J08_04446	2.263328713
B9J08_004176	B9J08_04176	2.232642501
B9J08_001861	B9J08_01861	2.22866037
B9J08_000211	B9J08_00211	2.177339215
B9J08_002830	B9J08_02830	2.163892434
B9J08_004560	B9J08_04560	2.142302469
B9J08_002847	B9J08_02847	2.135264739
B9J08_001484	B9J08_01484	2.108894526
B9J08_002919	B9J08_02919	2.082422217
B9J08_002940	B9J08_02940	2.082323916
B9J08_000178	B9J08_00178	2.053001254
B9J08_001581	B9J08_01581	2.050865566
B9J08_003628	B9J08_03628	2.042873445
B9J08_000987	B9J08_00987	2.042729595
B9J08_004559	B9J08_04559	2.039970517
B9J08_002012	B9J08_02012	2.029473547
B9J08_004628	B9J08_04628	2.005229378
B9J08_001552	B9J08_01552	1.985906968
B9J08_004365	B9J08_04365	1.915348634
B9J08_002668	B9J08_02668	1.901935076
B9J08_002261	B9J08_02261	1.88528793
B9J08_005380	B9J08_05380	1.867264086
B9J08_002166	B9J08_02166	1.864983413
B9J08_000388	B9J08_00388	1.855629002
B9J08_004148	B9J08_04148	1.83859351
B9J08_002239	B9J08_02239	1.83719299
B9J08_004477	B9J08_04477	1.833153457
B9J08_004905	B9J08_04905	1.826470329
B9J08_004324	B9J08_04324	1.807221971
B9J08_002825	B9J08_02825	1.804897175
B9J08_004167	B9J08_04167	1.803291155
B9J08_004840	B9J08_04840	1.797889194
B9J08_000592	B9J08_00592	1.79647397
B9J08_003109	B9J08_03109	1.784507901
B9J08_005394	B9J08_05394	1.779222383
B9J08_000581	B9J08_00581	1.775123218
B9J08_000849	B9J08_00849	1.764802145
B9J08_002624	B9J08_02624	1.763382585
B9J08_003514	B9J08_03514	1.73567433
B9J08_001956	B9J08_01956	1.732207345
B9J08_000594	B9J08_00594	1.722071303
B9J08_000398	B9J08_00398	1.717495093
B9J08_001551	B9J08_01551	1.708787881
B9J08_001613	B9J08_01613	1.707778924
B9J08_000007	B9J08_00007	1.691857119
B9J08_001538	B9J08_01538	1.683834749
B9J08_001323	B9J08_01323	1.679460215
B9J08_002707	B9J08_02707	1.67784082
B9J08_003466	B9J08_03466	1.668693237
B9J08_004892	B9J08_04892	1.66375017
B9J08_004831	B9J08_04831	1.662637549
B9J08_003167	B9J08_03167	1.661568244
B9J08_002423	B9J08_02423	1.647947837
B9J08_001225	B9J08_01225	1.645973337
B9J08_005163	B9J08_05163	1.636878535
