Gene_ID_v2	Gene_ID_v3	log2FoldChange
B9J08_002136	B9J08_03209	8.68280713297541
B9J08_004109	B9J08_04863	-3.13207526596757
B9J08_004100	B9J08_01957	-3.66163701815853
B9J08_001899	B9J08_00369	-2.47672994400211
B9J08_001458	B9J08_03708	-4.52534576872077
B9J08_003891	B9J08_01749	-4.91422117000111
B9J08_004445	B9J08_05199	-1.61407649507316
B9J08_004544	B9J08_04503	-2.97057186311409
B9J08_000595	B9J08_02553	-2.47748451223147
B9J08_004360	B9J08_05114	1.35013245457707
B9J08_004446	B9J08_05200	-2.27105241649982
B9J08_005078	B9J08_03961	1.02050766105846
B9J08_002239	B9J08_05249	-1.83568089456884
B9J08_001581	B9J08_00052	-2.10462633443761
B9J08_004324	B9J08_05078	-1.80677195531926
B9J08_003258	B9J08_01119	-1.34671106368491
B9J08_001546	B9J08_00017	3.25330251694845
B9J08_001549	B9J08_00020	3.15447844994017
B9J08_002825	B9J08_00684	-1.8062899796605
B9J08_003912	B9J08_01770	-1.36687424293538
B9J08_003514	B9J08_01373	-1.72245699104071
B9J08_001480	B9J08_03730	-1.08822212728956
B9J08_003109	B9J08_00967	-1.77454842392874
B9J08_002919	B9J08_00777	-2.08467969610516
B9J08_000849	B9J08_02807	-1.76990717618026
B9J08_004477	B9J08_04436	-1.80256448202355
B9J08_001721	B9J08_00191	-1.1389207060226
B9J08_001362	B9J08_03612	-2.43208674837238
B9J08_004545	B9J08_04504	-1.57349713513474
B9J08_004892	B9J08_04852	-1.66859866509081
B9J08_000388	B9J08_02346	-1.87124672771145
B9J08_004940	B9J08_03823	-1.36422614129561
B9J08_000724	B9J08_02682	-2.45399636095207
B9J08_001255	B9J08_03505	-1.54889304322353
B9J08_001670	B9J08_00140	1.35732307245377
B9J08_005002	B9J08_03885	-1.29618847177609
B9J08_004479	B9J08_04438	-1.30128019121782
B9J08_005006	B9J08_03889	1.65794757277454
B9J08_004979	B9J08_03862	0.734652667936677
B9J08_000645	B9J08_02603	1.03903904613147
B9J08_005163	B9J08_04046	-1.63770881565681
B9J08_002577	B9J08_05587	-1.15327017090202
B9J08_000656	B9J08_02614	2.04758294429988
B9J08_000398	B9J08_02356	-1.74062349372997
B9J08_002652	B9J08_00512	-1.44741236356092
B9J08_005199	B9J08_04082	-1.2956503341565
B9J08_004988	B9J08_03871	-1.20204472560311
B9J08_002351	B9J08_05361	-1.24977760857609
B9J08_004559	B9J08_04518	-2.05789269687294
B9J08_002166	B9J08_03239	-1.86126891444713
B9J08_002830	B9J08_00689	-2.16878136606335
B9J08_001948	B9J08_03021	1.68553554052913
B9J08_003908	B9J08_01766	2.74490657608704
B9J08_004112	B9J08_04866	-2.56386321731239
B9J08_000591	B9J08_02549	-1.34452332786592
B9J08_002169	B9J08_03242	-0.876807784162491
B9J08_000747	B9J08_02705	0.803161590106933
B9J08_002279	B9J08_05289	-1.197074339866
B9J08_003019	B9J08_00877	-1.30992528436176
B9J08_002940	B9J08_00798	-2.07370003715992
B9J08_000593	B9J08_02551	-1.01380221738842
B9J08_000594	B9J08_02552	-1.72600623821264
B9J08_002217	B9J08_03290	1.80100844353899
B9J08_000030	B9J08_01989	-1.52352429167063
B9J08_001132	B9J08_03382	-1.15425651322782
B9J08_002240	B9J08_05250	-1.58678857711498
B9J08_003035	B9J08_00893	0.745832407409428
B9J08_004514	B9J08_04473	-0.943918561390605
B9J08_003903	B9J08_01761	1.34258351411534
B9J08_004965	B9J08_03848	-0.755518560823341
B9J08_004711	B9J08_04671	-0.78175409227759
B9J08_000613	B9J08_02571	-0.724737125725264
B9J08_002259	B9J08_05269	-1.01147767931492
B9J08_000792	B9J08_02750	-1.57172511172435
B9J08_003694	B9J08_01552	-1.33292015273342
B9J08_005081	B9J08_03964	-1.39351143622252
B9J08_001292	B9J08_03542	1.62869643795301
B9J08_000348	B9J08_02306	-1.16447199287934
B9J08_005380	B9J08_04263	-1.87407354916174
B9J08_000844	B9J08_02802	1.15728106263638
B9J08_002205	B9J08_03278	-0.909665149365393
B9J08_002560	B9J08_05570	-1.50760743122686
B9J08_002256	B9J08_05266	-1.30981851968298
B9J08_004378	B9J08_05132	1.92305880221601
B9J08_001621	B9J08_00091	-2.27191362092571
B9J08_003016	B9J08_00874	1.14246469985124
B9J08_001428	B9J08_03678	1.24399603762753
B9J08_003516	B9J08_01375	-0.771098587489635
B9J08_000928	B9J08_02886	-1.3513345144286
B9J08_002381	B9J08_05391	-2.43208918009917
B9J08_002576	B9J08_05586	-1.28660005791254
B9J08_003167	B9J08_01025	-1.66471045594313
B9J08_003190	B9J08_01048	1.03254733416411
B9J08_005577	B9J08_04428	-6.84682422308199
B9J08_005383	B9J08_04266	-0.710783980612451
B9J08_000777	B9J08_02735	1.12742838922908
B9J08_002795	B9J08_00654	0.766254567257302
B9J08_000029	B9J08_01988	-1.10484842946907
B9J08_000169	B9J08_02128	1.0096265844091
B9J08_000581	B9J08_02539	-1.77316197294078
B9J08_003750	B9J08_01608	-1.35983000871145
B9J08_002582	B9J08_05592	2.1846289601079
B9J08_002295	B9J08_05305	1.85028870224233
B9J08_002262	B9J08_05272	1.0386382705779
B9J08_001291	B9J08_03541	-1.34487785974733
B9J08_002707	B9J08_00566	-1.67605925078074
