Gene_ID_v2	Gene_ID_v3	log2FoldChange
B9J08_003891	B9J08_01749	4.951269586
B9J08_001458	B9J08_03708	4.466069724
B9J08_004100	B9J08_01957	3.676295329
B9J08_004109	B9J08_04863	3.139694524
B9J08_004544	B9J08_04503	2.976287487
B9J08_000846	B9J08_02804	2.865475738
B9J08_004451	B9J08_05205	2.859214855
B9J08_004112	B9J08_04866	2.557540007
B9J08_002459	B9J08_05469	2.548008686
B9J08_000595	B9J08_02553	2.493072142
B9J08_001899	B9J08_00369	2.4828413
B9J08_000724	B9J08_02682	2.455685682
B9J08_001362	B9J08_03612	2.451522275
B9J08_002381	B9J08_05391	2.428297226
B9J08_004987	B9J08_03870	2.32189263
B9J08_001621	B9J08_00091	2.26987352
B9J08_004446	B9J08_05200	2.263328713
B9J08_004176	B9J08_04930	2.232642501
B9J08_001861	B9J08_00331	2.22866037
B9J08_000211	B9J08_02170	2.177339215
B9J08_002830	B9J08_00689	2.163892434
B9J08_004560	B9J08_04519	2.142302469
B9J08_002847	B9J08_00706	2.135264739
B9J08_001484	B9J08_03734	2.108894526
B9J08_002919	B9J08_00777	2.082422217
B9J08_002940	B9J08_00798	2.082323916
B9J08_000178	B9J08_02137	2.053001254
B9J08_001581	B9J08_00052	2.050865566
B9J08_003628	B9J08_01486	2.042873445
B9J08_000987	B9J08_02945	2.042729595
B9J08_004559	B9J08_04518	2.039970517
B9J08_002012	B9J08_03085	2.029473547
B9J08_004628	B9J08_04587	2.005229378
B9J08_001552	B9J08_00023	1.985906968
B9J08_004365	B9J08_05119	1.915348634
B9J08_002668	B9J08_00528	1.901935076
B9J08_002261	B9J08_05271	1.88528793
B9J08_005380	B9J08_04263	1.867264086
B9J08_002166	B9J08_03239	1.864983413
B9J08_000388	B9J08_02346	1.855629002
B9J08_004148	B9J08_04902	1.83859351
B9J08_002239	B9J08_05249	1.83719299
B9J08_004477	B9J08_04436	1.833153457
B9J08_004905	B9J08_03788	1.826470329
B9J08_004324	B9J08_05078	1.807221971
B9J08_002825	B9J08_00684	1.804897175
B9J08_004167	B9J08_04921	1.803291155
B9J08_004840	B9J08_04800	1.797889194
B9J08_000592	B9J08_02550	1.79647397
B9J08_003109	B9J08_00967	1.784507901
B9J08_005394	B9J08_04277	1.779222383
B9J08_000581	B9J08_02539	1.775123218
B9J08_000849	B9J08_02807	1.764802145
B9J08_002624	B9J08_00484	1.763382585
B9J08_003514	B9J08_01373	1.73567433
B9J08_001956	B9J08_03029	1.732207345
B9J08_000594	B9J08_02552	1.722071303
B9J08_000398	B9J08_02356	1.717495093
B9J08_001551	B9J08_00022	1.708787881
B9J08_001613	B9J08_00083	1.707778924
B9J08_000007	B9J08_01966	1.691857119
B9J08_001538	B9J08_00009	1.683834749
B9J08_001323	B9J08_03573	1.679460215
B9J08_002707	B9J08_00566	1.67784082
B9J08_003466	B9J08_01325	1.668693237
B9J08_004892	B9J08_04852	1.66375017
B9J08_004831	B9J08_04791	1.662637549
B9J08_003167	B9J08_01025	1.661568244
B9J08_002423	B9J08_05433	1.647947837
B9J08_001225	B9J08_03475	1.645973337
B9J08_005163	B9J08_04046	1.636878535
B9J08_004445	B9J08_05199	1.629822546
B9J08_003223	B9J08_01084	1.626887784
B9J08_004878	B9J08_04838	1.605949679
B9J08_002240	B9J08_05250	1.604067237
B9J08_004545	B9J08_04504	1.595640047
B9J08_001588	B9J08_00058	1.594240477
B9J08_002734	B9J08_00593	1.584046947
B9J08_000792	B9J08_02750	1.567479605
B9J08_000017	B9J08_01976	1.556398803
B9J08_003007	B9J08_00865	1.544645383
B9J08_003454	B9J08_01313	1.542102818
B9J08_001255	B9J08_03505	1.54170909
B9J08_002735	B9J08_00594	1.539355861
B9J08_003374	B9J08_01235	1.530226507
B9J08_000030	B9J08_01989	1.521147411
B9J08_001181	B9J08_03431	1.517429093
B9J08_002560	B9J08_05570	1.509810326
B9J08_002773	B9J08_00632	1.506839098
B9J08_003462	B9J08_01321	1.501982437
B9J08_000829	B9J08_02787	1.489677831
B9J08_005080	B9J08_03963	1.48179137
B9J08_002255	B9J08_05265	1.479092963
B9J08_004104	B9J08_04858	1.467950744
B9J08_000501	B9J08_02459	1.45714685
