Gene_ID_v3	Paper_LFC	Our_LFC
B9J08_02787	1.489677831	-1.48706429525067
B9J08_03963	1.48179137	-1.48710298287731
B9J08_05265	1.479092963	-1.48930463976744
B9J08_04858	1.467950744	-1.57491630020624
B9J08_02459	1.45714685	-1.45727909269145
B9J08_04596	1.455691341	-1.4395428141223
B9J08_00512	1.446867331	-1.44741236356092
B9J08_03238	1.445820057	-1.44866888624536
B9J08_00301	1.435245935	-1.43945595596895
B9J08_02432	1.432039859	-1.43343290599199
B9J08_01253	1.422306814	-1.43914630325576
B9J08_02805	1.421952238	-1.4214377862959
B9J08_03274	1.416522057	-1.41034588887494
B9J08_02883	1.416370167	-1.42060137248746
B9J08_03485	1.415491933	-1.41730814008843
B9J08_04030	1.408937939	-1.40595524324375
B9J08_03100	1.405541296	-1.4026385217694
B9J08_04837	1.395486403	-1.39592651493278
B9J08_05212	1.386041936	-1.39176035917461
B9J08_03964	1.382096582	-1.39351143622252
B9J08_05266	1.374025612	-1.30981851968298
B9J08_00488	1.37311386	-1.38691562896107
B9J08_05105	1.372323598	-1.3632770630009
B9J08_01119	1.370250439	-1.34671106368491
B9J08_01826	1.36947042	-1.37635624650887
B9J08_01884	1.366286944	-1.36493839020421
B9J08_01770	1.361620139	-1.36687424293538
B9J08_01608	1.358237911	-1.35983000871145
B9J08_02886	1.351057419	-1.3513345144286
B9J08_05120	1.349407636	-1.34208562169167
B9J08_03541	1.348252744	-1.34487785974733
B9J08_01969	1.348217905	-1.34781413774799
B9J08_03823	1.341791862	-1.36422614129561
B9J08_02953	1.339178093	-1.32968596968246
B9J08_02549	1.338872988	-1.34452332786592
B9J08_01552	1.334458586	-1.33292015273342
B9J08_05344	1.33277781	-1.3371832607738
B9J08_01767	1.329375075	-1.31640423873237
B9J08_00877	1.320976477	-1.30992528436176
B9J08_05121	1.315577686	-1.32008228149621
B9J08_03885	1.304963101	-1.29618847177609
B9J08_03602	1.299671292	-1.26433295307061
B9J08_04082	1.299319137	-1.2956503341565
B9J08_03817	1.293572647	-1.29400199262692
B9J08_04438	1.291279426	-1.30128019121782
B9J08_03041	1.278800312	-1.26873580835053
B9J08_02831	1.274521382	-1.28016704878362
B9J08_02251	1.274437913	-1.26941882892743
B9J08_01141	1.268298455	-1.27014589691281
B9J08_01258	1.267915606	-1.26602439631997
B9J08_00359	1.264981697	-1.26220499090192
B9J08_01307	1.26239266	-1.29979617912558
B9J08_05586	1.258610252	-1.28660005791254
B9J08_05361	1.257597594	-1.24977760857609
B9J08_00529	1.257299921	-1.25813441583013
B9J08_02863	1.251078542	-1.25125054047124
B9J08_01547	1.245533059	-1.24822893444555
B9J08_03621	1.245010872	-1.24332895518682
B9J08_01567	1.241074103	-1.2598331692881
B9J08_02573	1.240361827	-1.24766916024278
B9J08_00745	1.233352339	-1.23162965589899
B9J08_01044	1.225429528	-1.21947819136528
B9J08_05340	1.211410784	-1.20388820064779
B9J08_05289	1.209253555	-1.197074339866
B9J08_03222	1.180406083	-1.18696603384255
B9J08_00304	1.180190254	-1.18495770304133
B9J08_01422	1.170491127	-1.17662155477686
B9J08_02355	1.167505209	-1.16341753228333
B9J08_03854	1.161945383	-1.13893523275887
B9J08_01198	1.16151282	-1.1563032912559
B9J08_02648	1.159640301	-1.16652060913354
B9J08_05587	1.158977743	-1.15327017090202
B9J08_00622	1.158379483	-1.15437182160033
B9J08_02306	1.153755243	-1.16447199287934
B9J08_03382	1.153198487	-1.15425651322782
B9J08_01812	1.1527933	-1.16882205400813
B9J08_04510	1.149526839	-1.15011405688574
B9J08_01088	1.148941738	-1.14683569691615
B9J08_02002	1.148308091	-1.14603434222169
B9J08_00191	1.145112246	-1.1389207060226
B9J08_01991	1.140238408	-1.14346660083593
B9J08_04889	1.133536067	-1.1707739700113
B9J08_03990	1.128255748	-1.13068950787511
B9J08_00701	1.121847349	-1.12005340908497
B9J08_05070	1.120148103	-1.11093034236336
B9J08_02999	1.113519943	-1.11251658256261
B9J08_04483	1.111695308	-1.11421122605442
B9J08_02772	1.106923919	-1.0980896087346
B9J08_04138	1.105090148	-1.12421290766089
B9J08_01988	1.103844648	-1.10484842946907
B9J08_04867	1.098371596	-1.0459003462155
B9J08_03366	1.097689995	-1.10568870813074
B9J08_03822	1.090402173	-1.10130893983314
B9J08_02030	1.088904288	-1.08524396074416
B9J08_03730	1.088880736	-1.08822212728956
B9J08_04269	1.081505886	-1.08837724365583
B9J08_02966	1.075983637	-1.07483241341589
B9J08_03474	1.070122346	-1.06490814972325
B9J08_04185	1.068930939	-1.07360313654557
B9J08_03871	1.066356975	-1.20204472560311
B9J08_01602	1.062372202	-1.05940007073273
B9J08_00830	1.061141096	-1.05837930179532
B9J08_01955	1.05257018	-1.02153456335048
B9J08_04396	1.04998236	-1.04195219074017
B9J08_01805	1.041778477	-1.04074715924732
B9J08_04710	1.04142699	-1.03392241487236
B9J08_02782	1.036064202	-1.05854242314212
B9J08_04543	1.034695349	-1.01674283670038
B9J08_04807	1.030892129	-1.03108932449781
B9J08_00085	1.01645477	-1.01466511762354
B9J08_05269	1.013420443	-1.01147767931492
B9J08_03614	1.013349827	-1.02882740137858
B9J08_04843	1.008898745	-1.0196186185282
B9J08_04753	1.006019951	-1.04224955404068
B9J08_02551	1.001919155	-1.01380221738842
B9J08_00928	1.001819233	-1.00257019610872
B9J08_03961	-1.004787823	1.02050766105846
B9J08_02128	-1.0297991	1.0096265844091
B9J08_01048	-1.030146379	1.03254733416411
B9J08_05272	-1.033051491	1.0386382705779
B9J08_02603	-1.036971715	1.03903904613147
B9J08_04434	-1.053056284	1.03028753923445
B9J08_03183	-1.063100053	1.09222744075163
B9J08_05491	-1.106242813	1.11210918583232
B9J08_02592	-1.106976514	1.08753149666634
B9J08_02735	-1.132879158	1.12742838922908
B9J08_02802	-1.133775112	1.15728106263638
B9J08_04205	-1.134620932	1.12975456107095
B9J08_00874	-1.138794075	1.14246469985124
B9J08_05566	-1.140094892	1.12702593823877
B9J08_00156	-1.153937693	1.15239871400406
B9J08_01443	-1.165568286	1.11795959104525
B9J08_01772	-1.186082517	1.18426500712659
B9J08_03678	-1.23190944	1.24399603762753
B9J08_01995	-1.247620596	1.29429791689043
B9J08_03025	-1.267775146	1.27595890285121
B9J08_00364	-1.325015274	1.3509125793113
B9J08_01761	-1.331949267	1.34258351411534
B9J08_05114	-1.348717312	1.35013245457707
B9J08_00140	-1.369156845	1.35732307245377
B9J08_01269	-1.374410495	1.39362537335511
B9J08_01542	-1.389846509	1.39668852164895
B9J08_03291	-1.446723892	1.43437391519497
B9J08_05243	-1.468112392	1.41009687371593
B9J08_05222	-1.512088409	1.52013119910265
B9J08_00476	-1.532016802	1.43232065393472
B9J08_02659	-1.54217742	1.54061879905715
B9J08_02876	-1.544175523	1.5466056003379
B9J08_03181	-1.553393822	1.57290698049345
B9J08_00262	-1.589386486	1.56391266280174
B9J08_03542	-1.607702924	1.62869643795301
B9J08_03889	-1.654381752	1.65794757277454
B9J08_03021	-1.659633114	1.68553554052913
B9J08_04757	-1.68511348	1.69198344859581
B9J08_03290	-1.789220392	1.80100844353899
B9J08_04846	-1.836682685	1.83743702378974
B9J08_03700	-1.868066331	1.82149923551478
B9J08_05305	-1.903880159	1.85028870224233
B9J08_05132	-1.919507359	1.92305880221601
B9J08_03769	-1.993662445	1.99587227335293
B9J08_02614	-2.051568767	2.04758294429988
B9J08_00832	-2.093548366	2.10444100583688
B9J08_05592	-2.156327898	2.1846289601079
B9J08_04844	-2.701784466	2.66340182127735
B9J08_01766	-2.75666127	2.74490657608704
B9J08_00019	-2.888970624	2.88641182752832
B9J08_00020	-3.152345182	3.15447844994017
B9J08_00017	-3.233771041	3.25330251694845
B9J08_03209	-8.756698989	8.68280713297541
