Gene_ID_v3	Paper_LFC	Our_LFC
B9J08_01749	4.951269586	-4.91422117000111
B9J08_03708	4.466069724	-4.52534576872077
B9J08_01957	3.676295329	-3.66163701815853
B9J08_04863	3.139694524	-3.13207526596757
B9J08_04503	2.976287487	-2.97057186311409
B9J08_02804	2.865475738	-2.87468079276416
B9J08_04866	2.557540007	-2.56386321731239
B9J08_05469	2.548008686	-2.54979867351162
B9J08_02553	2.493072142	-2.47748451223147
B9J08_00369	2.4828413	-2.47672994400211
B9J08_02682	2.455685682	-2.45399636095207
B9J08_03612	2.451522275	-2.43208674837238
B9J08_05391	2.428297226	-2.43208918009917
B9J08_03870	2.32189263	-2.32123285107709
B9J08_00091	2.26987352	-2.27191362092571
B9J08_05200	2.263328713	-2.27105241649982
B9J08_04930	2.232642501	-2.2599662471688
B9J08_00331	2.22866037	-2.221312660722
B9J08_02170	2.177339215	-2.17057144692929
B9J08_00689	2.163892434	-2.16878136606335
B9J08_04519	2.142302469	-2.13135769563341
B9J08_00706	2.135264739	-2.13319747565428
B9J08_03734	2.108894526	-2.10667711419122
B9J08_00777	2.082422217	-2.08467969610516
B9J08_00798	2.082323916	-2.07370003715992
B9J08_02137	2.053001254	-2.05547768665806
B9J08_00052	2.050865566	-2.10462633443761
B9J08_01486	2.042873445	-2.03750514883453
B9J08_02945	2.042729595	-2.04956675673229
B9J08_04518	2.039970517	-2.05789269687294
B9J08_03085	2.029473547	-2.03318230422716
B9J08_04587	2.005229378	-1.97741487231221
B9J08_00023	1.985906968	-1.99143772986033
B9J08_05119	1.915348634	-1.9149059012429
B9J08_00528	1.901935076	-1.89599081756048
B9J08_05271	1.88528793	-1.88841220175583
B9J08_04263	1.867264086	-1.87407354916174
B9J08_03239	1.864983413	-1.86126891444713
B9J08_02346	1.855629002	-1.87124672771145
B9J08_04902	1.83859351	-1.8430400610337
B9J08_05249	1.83719299	-1.83568089456884
B9J08_04436	1.833153457	-1.80256448202355
B9J08_03788	1.826470329	-1.83184296175359
B9J08_05078	1.807221971	-1.80677195531926
B9J08_00684	1.804897175	-1.8062899796605
B9J08_04921	1.803291155	-1.80328850795046
B9J08_04800	1.797889194	-1.77837004436854
B9J08_02550	1.79647397	-1.76575260957672
B9J08_00967	1.784507901	-1.77454842392874
B9J08_04277	1.779222383	-1.76325871079045
B9J08_02539	1.775123218	-1.77316197294078
B9J08_02807	1.764802145	-1.76990717618026
B9J08_00484	1.763382585	-1.75801271958464
B9J08_01373	1.73567433	-1.72245699104071
B9J08_03029	1.732207345	-1.71324299497075
B9J08_02552	1.722071303	-1.72600623821264
B9J08_02356	1.717495093	-1.74062349372997
B9J08_00022	1.708787881	-1.71583828012004
B9J08_00083	1.707778924	-1.70272811127097
B9J08_01966	1.691857119	-1.69017336727112
B9J08_00009	1.683834749	-1.6943085198094
B9J08_03573	1.679460215	-1.65875436699529
B9J08_00566	1.67784082	-1.67605925078074
B9J08_01325	1.668693237	-1.65934279411483
B9J08_04852	1.66375017	-1.66859866509081
B9J08_04791	1.662637549	-1.65540124982475
B9J08_01025	1.661568244	-1.66471045594313
B9J08_05433	1.647947837	-1.65100120439551
B9J08_03475	1.645973337	-1.6292549112241
B9J08_04046	1.636878535	-1.63770881565681
B9J08_05199	1.629822546	-1.61407649507316
B9J08_01084	1.626887784	-1.62756872218131
B9J08_04838	1.605949679	-1.58579363650372
B9J08_05250	1.604067237	-1.58678857711498
B9J08_04504	1.595640047	-1.57349713513474
B9J08_00058	1.594240477	-1.59877238237568
B9J08_00593	1.584046947	-1.56614264133462
B9J08_02750	1.567479605	-1.57172511172435
B9J08_01976	1.556398803	-1.55281236907005
B9J08_00865	1.544645383	-1.50552147740001
B9J08_01313	1.542102818	-1.54784911356912
B9J08_03505	1.54170909	-1.54889304322353
B9J08_00594	1.539355861	-1.5408606888915
B9J08_01235	1.530226507	-1.53179972883158
B9J08_01989	1.521147411	-1.52352429167063
B9J08_03431	1.517429093	-1.52246835503027
B9J08_05570	1.509810326	-1.50760743122686
B9J08_00632	1.506839098	-1.47851616800132
B9J08_01321	1.501982437	-1.48830645271559
