Gene_ID_v2	Gene_ID_v3	log2FoldChange
B9J08_003708	B9J08_03708	-8.66898378965657
B9J08_002550	B9J08_02550	-6.0159483076448
B9J08_002614	B9J08_02614	4.28168980098756
B9J08_000020	B9J08_00020	6.08888454580532
B9J08_004863	B9J08_04863	-3.62069777236312
B9J08_003209	B9J08_03209	14.9824626770075
B9J08_000745	B9J08_00745	-2.29293155118523
B9J08_001515	B9J08_01515	-3.08641857444563
B9J08_005205	B9J08_05205	-6.73645735660014
B9J08_001838	B9J08_01838	4.04180792245621
B9J08_001749	B9J08_01749	-3.94731434264175
B9J08_001957	B9J08_01957	-4.95385346799881
B9J08_005490	B9J08_05490	5.25529010728817
B9J08_003405	B9J08_03405	-3.89354298384147
B9J08_005200	B9J08_05200	-3.54730895468264
B9J08_003025	B9J08_03025	1.64032854848996
B9J08_002897	B9J08_02897	1.43277278415004
B9J08_001766	B9J08_01766	3.47339385357565
B9J08_001552	B9J08_01552	-1.88386765114517
B9J08_002076	B9J08_02076	-2.74723054889734
B9J08_000946	B9J08_00946	1.57015867114901
B9J08_002129	B9J08_02129	1.74759759689622
B9J08_005240	B9J08_05240	3.08414389609116
B9J08_002974	B9J08_02974	-1.45100612732079
B9J08_005266	B9J08_05266	-2.47516383318213
B9J08_005254	B9J08_05254	3.03753377735194
B9J08_000369	B9J08_00369	-3.88399219040262
B9J08_002682	B9J08_02682	-2.25621733135384
B9J08_005392	B9J08_05392	1.31559717182409
B9J08_004503	B9J08_04503	-2.97577323547409
B9J08_002553	B9J08_02553	-1.47020515195997
B9J08_003770	B9J08_03770	2.38795354355841
B9J08_001923	B9J08_01923	-2.84790029976802
B9J08_003021	B9J08_03021	2.17740512232035
B9J08_001761	B9J08_01761	2.47777788312986
B9J08_005591	B9J08_05591	1.30894559057253
B9J08_000052	B9J08_00052	-4.31135228764287
B9J08_001350	B9J08_01350	2.3263828460095
B9J08_004436	B9J08_04436	-1.52008877050032
B9J08_003291	B9J08_03291	1.9178759700679
B9J08_004200	B9J08_04200	2.11569667825072
B9J08_005198	B9J08_05198	2.13525452200934
B9J08_002792	B9J08_02792	2.1852034787209
B9J08_001300	B9J08_01300	1.35239010821472
B9J08_003290	B9J08_03290	1.83195332071796
B9J08_005189	B9J08_05189	-1.31973313569812
B9J08_005119	B9J08_05119	2.52335658685592
B9J08_004847	B9J08_04847	2.78046347728675
B9J08_003730	B9J08_03730	-1.05878877324742
B9J08_003058	B9J08_03058	1.44939354440532
B9J08_000506	B9J08_00506	-1.55649282980844
B9J08_005265	B9J08_05265	-1.97466419947991
B9J08_002552	B9J08_02552	-1.6131246335802
B9J08_000018	B9J08_00018	1.58367137784608
B9J08_000734	B9J08_00734	1.20767507280893
B9J08_004512	B9J08_04512	-2.25021433574053
B9J08_003700	B9J08_03700	1.75011488398783
B9J08_003737	B9J08_03737	-1.00948649081107
B9J08_004737	B9J08_04737	-2.1154876648517
B9J08_002418	B9J08_02418	1.5253259459696
B9J08_000529	B9J08_00529	1.80071627814293
B9J08_003889	B9J08_03889	1.58826286563324
B9J08_004473	B9J08_04473	-1.66275694319909
B9J08_000445	B9J08_00445	1.46271373963489
B9J08_004561	B9J08_04561	-3.24070417462471
B9J08_004958	B9J08_04958	-2.92796799764379
B9J08_000130	B9J08_00130	-2.51546990901421
B9J08_001955	B9J08_01955	-3.04016188874064
B9J08_003382	B9J08_03382	-1.73864237616378
B9J08_004758	B9J08_04758	1.64961569511907
B9J08_003871	B9J08_03871	-1.63448473902946
B9J08_003765	B9J08_03765	-5.16523312760799
B9J08_004504	B9J08_04504	-3.31999215733934
