Run	Sample Name	strain
SRR28790270	group:82_Bio_1	AR0382
SRR28790272	group:82_Bio_2	AR0382
SRR28790274	group:82_Bio_3	AR0382
SRR28790276	group:87_Bio_1	AR0387
SRR28790278	group:87_Bio_2	AR0387
SRR28790280	group:87_Bio_3	AR0387
