Gene_ID_v2	Gene_ID_v3	Gene_name
Gene_ID	Gene_ID	Gene_name
B9J08_001458	B9J08_01458	SCF1
B9J08_004451	B9J08_04451	
B9J08_000592	B9J08_00592	
B9J08_001515	B9J08_01515	
B9J08_004112	B9J08_04112	ALS4112
B9J08_004100	B9J08_04100	
B9J08_005072	B9J08_05072	
B9J08_001581	B9J08_01581	
B9J08_003891	B9J08_03891	
B9J08_001899	B9J08_01899	
B9J08_001155	B9J08_01155	
B9J08_004109	B9J08_04109	
B9J08_004446	B9J08_04446	
B9J08_002630	B9J08_02630	
B9J08_004545	B9J08_04545	
B9J08_004602	B9J08_04602	
B9J08_003657	B9J08_03657	
B9J08_002333	B9J08_02333	
B9J08_004098	B9J08_04098	
B9J08_002660	B9J08_02660	
B9J08_004544	B9J08_04544	
B9J08_004204	B9J08_04204	
B9J08_004066	B9J08_04066	
B9J08_000117	B9J08_00117	
B9J08_004161	B9J08_04161	ERG5
B9J08_001362	B9J08_01362	
B9J08_001660	B9J08_01660	
B9J08_002256	B9J08_02256	
B9J08_000005	B9J08_00005	
B9J08_004842	B9J08_04842	
B9J08_000008	B9J08_00008	
B9J08_002886	B9J08_02886	
B9J08_000724	B9J08_00724	
B9J08_004479	B9J08_04479	
B9J08_001673	B9J08_01673	
B9J08_000398	B9J08_00398	SAP7
B9J08_002227	B9J08_02227	
B9J08_000266	B9J08_00266	
B9J08_003694	B9J08_03694	
B9J08_002251	B9J08_02251	
B9J08_004135	B9J08_04135	
B9J08_001132	B9J08_01132	
B9J08_004514	B9J08_04514	
B9J08_003910	B9J08_03910	
B9J08_000594	B9J08_00594	
B9J08_002055	B9J08_02055	
B9J08_003563	B9J08_03563	
B9J08_004097	B9J08_04097	
B9J08_004775	B9J08_04775	TPO3
B9J08_001952	B9J08_01952	
B9J08_004798	B9J08_04798	
B9J08_003449	B9J08_03449	
B9J08_000170	B9J08_00170	
B9J08_002217	B9J08_02217	
B9J08_002951	B9J08_02951	
B9J08_002218	B9J08_02218	
B9J08_004830	B9J08_04830	
B9J08_005317	B9J08_05317	
B9J08_004444	B9J08_04444	
B9J08_000834	B9J08_00834	
B9J08_001948	B9J08_01948	
B9J08_003491	B9J08_03491	
B9J08_001520	B9J08_01520	
B9J08_000221	B9J08_00221	
B9J08_003903	B9J08_03903	
B9J08_004365	B9J08_04365	
B9J08_000438	B9J08_00438	
B9J08_004200	B9J08_04200	
B9J08_002244	B9J08_02244	
B9J08_005560	B9J08_05560	
B9J08_003908	B9J08_03908	
B9J08_003981	B9J08_03981	MDR1
B9J08_000656	B9J08_00656	MGD1
B9J08_002480	B9J08_02480	
B9J08_001549	B9J08_01549	
B9J08_002136	B9J08_02136	
