Gene_ID_v2,Gene_name,LFC_invivo,log2FoldChange,padj
B9J08_002136,,-8.756698989,8.68280713297541,2.50352117860272e-71
B9J08_003891,,4.951269586,-4.91422117000111,3.3681299305111304e-25
B9J08_001458,SCF1,4.466069724,-4.52534576872077,4.6990019267449296e-27
B9J08_004100,,3.676295329,-3.66163701815853,1.90648563052419e-48
B9J08_001546,SAP3,-3.233771041,3.25330251694845,3.9156191263877396e-11
B9J08_001549,,-3.152345182,3.15447844994017,4.301112708862e-11
B9J08_004109,,3.139694524,-3.13207526596757,2.9827563332059297e-62
B9J08_004544,,2.976287487,-2.97057186311409,1.14346158973233e-17
B9J08_001548,,-2.888970624,2.88641182752832,0.0002766607255124
B9J08_000846,,2.865475738,-2.87468079276416,0.0084178475971005
B9J08_003908,,-2.75666127,2.74490657608704,1.84964341567832e-06
B9J08_004884,,-2.701784466,2.66340182127735,0.0016328146646444
B9J08_004112,ALS4112,2.557540007,-2.56386321731239,1.92923544832615e-06
B9J08_002459,,2.548008686,-2.54979867351162,0.0007004115521991
B9J08_000595,,2.493072142,-2.47748451223147,1.02384709971316e-16
B9J08_001899,,2.4828413,-2.47672994400211,1.81709801763435e-37
B9J08_000724,,2.455685682,-2.45399636095207,6.86694021542876e-08
B9J08_001362,,2.451522275,-2.43208674837238,3.46819815134389e-08
B9J08_002381,,2.428297226,-2.43208918009917,6.37146064629374e-05
B9J08_004987,,2.32189263,-2.32123285107709,0.0001328940336741
