paper_gene,paper_lfc,paper_name,our_gene,our_lfc,lfc_diff
B9J08_003891,4.951269586,,B9J08_01749,4.91422185844526,0.037047727554739396
B9J08_001458,4.466069724,SCF1,B9J08_03708,4.52534752630344,0.059277802303440374
B9J08_004100,3.676295329,,B9J08_01957,3.66163748259387,0.01465784640612977
B9J08_004109,3.139694524,,B9J08_04863,3.13207569781196,0.007618826188039662
B9J08_004544,2.976287487,,B9J08_04503,2.97057329370876,0.005714193291240122
B9J08_000846,2.865475738,,B9J08_04173,2.86479110346477,0.0006846345352302663
B9J08_004451,2.859214855,,B9J08_04173,2.86479110346477,0.005576248464770117
B9J08_004112,2.557540007,ALS4112,B9J08_04866,2.56386557239991,0.006325565399909916
B9J08_002459,2.548008686,,B9J08_05469,2.54980412198817,0.0017954359881700022
B9J08_000595,2.493072142,,B9J08_02553,2.47748505905136,0.015587082948639974
B9J08_001899,2.4828413,,B9J08_02553,2.47748505905136,0.0053562409486400675
B9J08_000724,2.455685682,,B9J08_02682,2.45399812413595,0.00168755786405006
B9J08_001362,2.451522275,,B9J08_02682,2.45399812413595,0.0024758491359500034
B9J08_002381,2.428297226,,B9J08_03612,2.43208840367222,0.0037911776722197033
B9J08_004987,2.32189263,,B9J08_03870,2.32123495637334,0.0006576736266596939
B9J08_001621,2.26987352,,B9J08_03056,2.26934723705605,0.0005262829439498518
B9J08_004446,2.263328713,,B9J08_04930,2.25996805085601,0.003360662143990112
B9J08_004176,2.232642501,,B9J08_00331,2.22131581165808,0.011326689341919938
B9J08_001861,2.22866037,,B9J08_00331,2.22131581165808,0.007344558341920049
B9J08_000211,2.177339215,,B9J08_02170,2.17057409843916,0.006765116560839779
B9J08_002830,2.163892434,,B9J08_00689,2.16878263429101,0.004890200291010061
B9J08_004560,2.142302469,,B9J08_03798,2.14908462113444,0.00678215213444
B9J08_002847,2.135264739,,B9J08_00706,2.13320120196744,0.0020635370325603475
B9J08_001484,2.108894526,,B9J08_01391,2.11105501633334,0.0021604903333400927
B9J08_002919,2.082422217,,B9J08_00777,2.08468117724423,0.0022589602442302237
B9J08_002940,2.082323916,,B9J08_00777,2.08468117724423,0.002357261244230191
B9J08_000178,2.053001254,,B9J08_02137,2.05548055024669,0.002479296246689966
B9J08_001581,2.050865566,,B9J08_02945,2.04956929216236,0.0012962738376400829
B9J08_003628,2.042873445,,B9J08_01486,2.03750893016799,0.005364514832010059
B9J08_000987,2.042729595,,B9J08_01486,2.03750893016799,0.005220664832009891
B9J08_004559,2.039970517,,B9J08_01486,2.03750893016799,0.002461586832009921
B9J08_002012,2.029473547,,B9J08_03085,2.03318437410038,0.0037108271003800652
B9J08_004628,2.005229378,,B9J08_04200,2.00394310838095,0.0012862696190500955
B9J08_001552,1.985906968,,B9J08_00023,1.99144186272097,0.005534894720969907
B9J08_004365,1.915348634,,B9J08_05119,1.9149081142391,0.00044051976090009326
B9J08_002668,1.901935076,,B9J08_00528,1.8959929445248,0.005942131475199952
B9J08_002261,1.88528793,,B9J08_01057,1.88442989936677,0.0008580306332299781
B9J08_005380,1.867264086,,B9J08_04882,1.86587253984386,0.001391546156140011
B9J08_002166,1.864983413,,B9J08_04882,1.86587253984386,0.0008891268438599997
B9J08_000388,1.855629002,,B9J08_00699,1.85039105753956,0.005237944460440014
B9J08_004148,1.83859351,,B9J08_05249,1.8356814104664,0.0029120995335998323
B9J08_002239,1.83719299,,B9J08_05249,1.8356814104664,0.0015115795335998161
B9J08_004477,1.833153457,,B9J08_00739,1.83352395712753,0.00037050012752981587
B9J08_004905,1.826470329,,B9J08_03788,1.83184534501246,0.005375016012460154
B9J08_004324,1.807221971,,B9J08_05078,1.80677259210443,0.0004493788955699518
B9J08_002825,1.804897175,,B9J08_00684,1.80629059702604,0.00139342202603987
B9J08_004167,1.803291155,,B9J08_04921,1.80329106008944,9.491055985577646e-08
B9J08_004840,1.797889194,,B9J08_04436,1.80256509498337,0.004675900983370118
B9J08_000592,1.79647397,,B9J08_04436,1.80256509498337,0.006091124983369944
B9J08_003109,1.784507901,,B9J08_04800,1.77837208475386,0.006135816246140013
B9J08_005394,1.779222383,,B9J08_04800,1.77837208475386,0.0008502982461400244
B9J08_000581,1.775123218,,B9J08_00967,1.77454899522271,0.0005742227772900232
B9J08_000849,1.764802145,,B9J08_02550,1.76575345473824,0.0009513097382400915
B9J08_002624,1.763382585,,B9J08_04277,1.76326030072626,0.00012228427374005868
B9J08_003514,1.73567433,,B9J08_02356,1.74062418286035,0.00494985286034999
B9J08_001956,1.732207345,,B9J08_02552,1.72600696686122,0.006200378138780049
B9J08_000594,1.722071303,,B9J08_01373,1.72245743140806,0.0003861284080599603
