paper_gene,paper_lfc,paper_name,our_gene,our_lfc,lfc_diff
B9J08_002055,1.549234935,,B9J08_04472,1.54939055510806,0.00015562010805991733
B9J08_003657,3.082734328,,B9J08_05343,3.08257794395423,0.00015638404576989728
B9J08_003563,1.49771691,,B9J08_01421,1.49755038630123,0.00016652369877001583
B9J08_001952,-1.640500652,,B9J08_03025,-1.6403280468268,0.00017260517320005775
B9J08_001673,2.142481412,,B9J08_00143,2.14229696195215,0.00018445004785005992
B9J08_005560,-3.077447365,,B9J08_03798,-3.07763984139144,0.00019247639144026607
B9J08_004097,-1.421728708,,B9J08_00777,-1.42198172124217,0.00025301324216986387
B9J08_003491,-2.322053946,,B9J08_04063,-2.32245709708491,0.0004031510849098474
B9J08_002660,3.040690684,,B9J08_01955,3.04016964066711,0.0005210433328897146
B9J08_000170,-1.74827222,,B9J08_02129,-1.74759677815511,0.0006754418448899902
B9J08_005317,-2.116388369,,B9J08_04200,-2.11569491563978,0.0006934533602200865
B9J08_004098,3.041084229,,B9J08_01955,3.04016964066711,0.0009145883328898208
B9J08_001948,-2.186250054,,B9J08_02792,-2.18520140174299,0.0010486522570096746
B9J08_003694,1.892605862,,B9J08_04889,1.89377747359217,0.001171611592170052
B9J08_003910,1.629414231,,B9J08_01768,1.62815271274088,0.0012615182591200202
B9J08_001515,5.163949028,,B9J08_03765,5.16525131986317,0.001302291863169991
B9J08_004775,-1.55091249,TPO3,B9J08_02804,-1.54927911529579,0.0016333747042098778
B9J08_001660,2.513548103,,B9J08_00130,2.51547492024281,0.001926817242809964
B9J08_004798,-1.642345188,,B9J08_03025,-1.6403280468268,0.0020171411731999545
B9J08_000834,-2.183136408,,B9J08_02792,-2.18520140174299,0.0020649937429899623
B9J08_001155,3.88616764,,B9J08_00369,3.88399787127885,0.002169768721150156
B9J08_004200,-2.633439453,,B9J08_04954,-2.63117846758157,0.002260985418429673
B9J08_004544,2.978247066,,B9J08_04503,2.97577645008739,0.002470615912610441
B9J08_000724,2.258819336,,B9J08_02682,2.25621879227164,0.0026005437283602717
B9J08_001899,3.890896381,,B9J08_03405,3.89354654123344,0.002650160233439891
B9J08_004842,2.413905046,,B9J08_04802,2.41117644080555,0.002728605194449951
B9J08_004204,2.973014424,,B9J08_04503,2.97577645008739,0.002762026087389735
B9J08_000438,-2.530768008,,B9J08_02396,-2.52797911889936,0.002788889100640013
B9J08_004830,-2.029188872,,B9J08_04788,-2.0260845593153,0.00310431268470035
B9J08_002227,2.089244844,,B9J08_02790,2.08567116374419,0.0035736802558101743
B9J08_001132,1.742351286,,B9J08_03382,1.73864507197705,0.0037062140229500162
B9J08_002217,-1.828012597,,B9J08_03290,-1.83195151647982,0.003938919479819836
B9J08_002251,1.878771708,,B9J08_05261,1.87473976455099,0.004031943449009923
B9J08_004109,3.624762839,,B9J08_04863,3.62069881265553,0.0040640263444702285
B9J08_003449,-1.69101864,,B9J08_01308,-1.68650854025936,0.004510099740639983
B9J08_004446,3.552788117,,B9J08_02345,3.5573989362466,0.004610819246599895
B9J08_004365,-2.518487576,,B9J08_05119,-2.52335272364871,0.004865147648709822
B9J08_002244,-3.032463794,,B9J08_05254,-3.0375314870724,0.005067693072400292
B9J08_000594,1.623024118,,B9J08_01768,1.62815271274088,0.005128594740879899
B9J08_002886,2.298180043,,B9J08_00745,2.29293203467254,0.005248008327459974
B9J08_004545,3.32557288,,B9J08_04504,3.31999817562365,0.005574704376350326
B9J08_000398,2.121091351,SAP7,B9J08_04737,2.11548961585347,0.00560173514652984
B9J08_000221,-2.424533076,,B9J08_02180,-2.43040336740899,0.0058702914089900915
B9J08_004066,2.854418732,,B9J08_01923,2.84790304319593,0.006515688804070052
B9J08_001362,2.522523949,,B9J08_00130,2.51547492024281,0.007049028757189824
B9J08_004444,-2.122859656,,B9J08_04200,-2.11569491563978,0.00716474036022019
B9J08_001520,-2.395215112,,B9J08_03770,-2.38795162164628,0.00726349035371987
B9J08_004161,2.570438646,ERG5,B9J08_04915,2.57779362890475,0.007354982904749896
B9J08_004479,2.236139057,,B9J08_04438,2.22869122890135,0.007447828098650078
B9J08_002951,-1.872277898,,B9J08_00809,-1.87972687742772,0.007448979427719937
B9J08_003981,-4.034310333,MDR1,B9J08_01838,-4.04180627768201,0.007495944682010425
B9J08_004112,5.069252626,ALS4112,B9J08_04866,5.0771407603848,0.007888134384799628
B9J08_004602,3.251021232,,B9J08_04561,3.24071230964794,0.010308922352059824
B9J08_002256,2.496233047,,B9J08_03612,2.50699153138433,0.010758484384330025
B9J08_002480,-5.266080783,,B9J08_05490,-5.25528553084081,0.010795252159189417
B9J08_000117,2.758624087,,B9J08_02076,2.74723176582544,0.011392321174559683
B9J08_000008,2.304913816,,B9J08_00745,2.29293203467254,0.011981781327460084
B9J08_004100,4.965966819,,B9J08_01957,4.95385798184543,0.012108837154570118
B9J08_002218,-1.899580713,,B9J08_05224,-1.91313717929987,0.013556466299869951
B9J08_000656,-4.267964232,MGD1,B9J08_02614,-4.28168916504559,0.013724933045589971
B9J08_000266,1.914482416,,B9J08_00861,1.92910904366798,0.014626627667980063
B9J08_002333,3.062818239,,B9J08_00520,3.04788448606784,0.014933752932159816
B9J08_004135,1.858636846,,B9J08_04801,1.84277837024255,0.01585847575745003
B9J08_004514,1.679008015,,B9J08_04473,1.66275868147136,0.016249333528639998
B9J08_002630,3.374752104,,B9J08_01351,3.3910784625597,0.016326358559699994
B9J08_000005,2.457678612,,B9J08_01964,2.47465287299437,0.01697426099436994
B9J08_003903,-2.460713295,,B9J08_01761,-2.47777539837392,0.01706210337391978
B9J08_000592,5.991984446,,B9J08_02550,6.01594900969367,0.023964563693669838
B9J08_001581,4.336657823,,B9J08_00052,4.31136011895136,0.025297704048639957
B9J08_005072,4.733923989,,B9J08_03955,4.76124119282706,0.027317203827060155
B9J08_003908,-3.441573375,,B9J08_01766,-3.47339159212631,0.031818217126310167
B9J08_001549,-6.124676706,,B9J08_00020,-6.08888360433564,0.03579310166435956
B9J08_003891,4.000801888,,B9J08_01749,3.94731588363475,0.05348600436524986
B9J08_001458,8.611549656,SCF1,B9J08_03708,8.66898543467797,0.057435778677970006
B9J08_004451,6.809597233,,B9J08_05205,6.73646112967228,0.07313610332771958
B9J08_002136,-10.0,,B9J08_00020,-6.08888360433564,3.9111163956643598
