	SRR28790276	SRR28790278	SRR28790280	SRR28790270	SRR28790272	SRR28790274
B9J08_05593	1473.56218465011	1878.42434108912	1303.92091882281	2222.08140315448	1923.98875702223	762.611713268468
B9J08_05592	104.272285227963	159.930922749996	319.201812830915	69.6052461733561	63.0413337407285	356.458858457567
B9J08_05591	2115.23778605296	2299.13434806841	1788.26961551219	881.960144551006	898.953044770389	722.474254675391
B9J08_05590	12919.4507246734	11632.1732922433	8900.67757631223	9345.60564760492	11922.9992631978	8042.78217903187
B9J08_05589	140.939462450983	107.978839563692	98.5951545423676	85.4646693520955	90.8777668210502	99.3879927066675
B9J08_05588	3578.4873271091	3969.75035641232	7519.11297328731	3418.58677408382	4260.61169852924	8858.91050375777
B9J08_05587	1255.85081988843	895.409433740423	656.890217138524	1232.62961261424	1196.14790383382	533.254807022312
B9J08_05586	218.8572140499	533.782188031834	325.364009989813	553.317653124907	673.805424267787	260.893480855002
B9J08_05585	8425.42981627704	9653.91945797268	8349.77715030675	30806.0484456357	18620.1175748752	14446.6181321797
B9J08_05584	3097.23062605696	2298.11567977064	1444.41901404569	1690.79072666671	3549.96393636103	2068.03477131951
B9J08_05583	1404.81122735695	2601.6788325063	2687.9504007113	3103.16046864	2867.15260727313	2705.45583992861
B9J08_05582	2988.37494367612	2736.14304781203	3065.07686683585	2361.2918955012	2190.89102714532	3286.49333575221
B9J08_05581	4389.74862316841	4001.32907364321	3056.44979081339	4280.28210012866	3878.27010298482	2551.59558198848
B9J08_05580	9824.5117971929	14924.5092306382	14924.8415188509	12909.5704674938	15664.543356641	13997.4608574477
B9J08_05579	5417.57543470119	3832.23013621328	3261.03473648881	4796.59443250317	4445.64210665138	4159.00523326363
B9J08_05578	13224.2466353398	9066.147850159	7402.03122726825	10062.8040069101	10251.9945597585	8497.67337642007
B9J08_05577	2472.7427639774	2343.95575317032	2342.86735981301	2259.96780297036	2437.32533176817	2561.15211974874
B9J08_05576	157823.551712895	121462.951821282	96703.3600145859	15111.3870521422	75936.9707244976	48853.9766842072
B9J08_05575	454.902167423091	973.846892668765	1031.55180439952	986.808553343783	1282.93207755483	961.387698681803
B9J08_05574	656.5716421497	1149.05783988532	1066.06010848935	946.278916331449	906.321512350474	861.04405219911
B9J08_05573	1317.72668145228	917.820136291378	1311.31555541349	663.452536310597	792.519624169159	1111.42534151783
B9J08_05572	4840.06739343863	7676.68429199981	6281.74378378059	7226.61049511224	8664.49915556013	5985.25959924864
B9J08_05571	1962.83983071978	1186.74856690284	842.988571337243	1386.81844907421	1286.20695203486	952.786814697573
B9J08_05570	5204.44746709239	4008.45975172761	4527.98247235823	10946.5263095921	4339.20868605015	6192.63646864621
B9J08_05569	1672.93996080028	2386.73982167669	1678.58250608381	2365.69729082862	2916.2757244737	1442.0815480227
B9J08_05568	1918.15170847923	1191.84190839169	1024.15716780884	1091.65696213656	1298.48773133501	1239.48294750527
B9J08_05567	146.66870889208	213.920342531842	199.655187948294	264.323719645656	282.457923903264	288.607440359746
B9J08_05566	1598.45975706602	901.521443527047	1345.82385950332	753.32260099012	767.139346948866	1219.41421820873
B9J08_05565	3587.65412141485	2433.59856337414	3216.66691694474	3554.27295016859	2446.33123658827	4177.16265500811
B9J08_05564	1976.59002217842	1640.05595941079	2675.6260063935	2488.16728093111	2000.12958868311	3269.29156778375
B9J08_05563	4860.69268062658	6201.65259682787	5895.99024163358	5698.81939556035	6162.49505281122	5946.07779443159
B9J08_05562	17.1877393232906	5.09334148885337	6.16219715889797	6.16755345839864	9.00590482010408	0
B9J08_05561	3785.88604827681	2664.83626696809	2328.07808663165	2871.43667441731	3257.68138901765	2364.28744188746
B9J08_05560	11736.934259231	8437.6295104345	7922.12066747924	9580.85375808955	10011.2912854757	8504.36295285225
B9J08_05559	1070.22323519689	1113.40444946335	1470.30024211306	1593.87202946331	1018.48596329177	2314.59344553412
B9J08_05558	10950.8816475125	11470.2050328978	10605.1413104634	10335.9385172106	12939.8477892495	12392.9181675006
B9J08_05557	18672.7600008229	15124.1682170012	7368.7553626102	14573.0477431305	17487.8297234021	6339.80715015416
B9J08_05556	868.553760470284	970.790887775453	1571.36027551898	1389.46168627067	862.110706869963	1818.60913577681
B9J08_05555	3764.11491180064	4339.52694850307	4842.25452746203	5128.76124019121	3965.87299532583	4729.53053755094
B9J08_05554	3930.26305859245	3760.92335536933	4230.96456929935	3619.47280101452	3323.1788786184	4192.45311542452
B9J08_05553	3903.9085249634	3987.06771747442	2912.25437729518	2448.51872298426	3315.81041103832	3594.21385163247
B9J08_05552	3866.09549845216	3125.27433756043	2483.36545503588	2872.3177534828	3238.85086075743	2168.3784178022
B9J08_05551	3423.79767319948	3990.12372236773	2113.63362550201	1342.76449579993	4553.71296449263	3128.81046270798
B9J08_05550	16700.7533757973	13467.8135648261	6541.78850388609	35094.2602573538	13168.2702842322	8695.49370805739
B9J08_05549	2689.30827945087	2980.62343927699	3894.50860442352	3218.58182621861	2491.36076068879	4229.72361268952
B9J08_05548	6461.44413626904	5030.18405439159	4722.70790257941	6654.79018161214	4527.51396865232	4861.41075864248
B9J08_05547	2733.99640169142	3097.77029352062	1672.42030892491	2499.62130878242	2745.16353289172	1106.6470726377
B9J08_05546	22192.8090142328	19088.8252319247	21714.3503485247	15780.1260628457	18407.2507336727	8244.42512577328
B9J08_05545	276.149678460869	1278.4287137022	1034.01668326308	986.808553343783	1216.61586933406	1196.47852758411
B9J08_05544	22438.0207619117	21251.4580280918	16379.1200483508	22275.4409336049	23820.6182491753	14172.3454984604
B9J08_05543	5103.61272972908	5166.68560629286	5007.40141132049	6099.71037035626	5588.57330018458	3730.87234160414
B9J08_05542	14617.5993698145	13027.7488601892	14202.6320118281	7297.97789941657	7436.42122554594	6640.83808960224
B9J08_05541	1439.18670600353	1552.45048580251	2183.88267311344	1274.04032869206	1040.59136603203	4299.4863383394
B9J08_05540	2527.74352981193	2359.23577763688	1906.58380096303	2330.4541282092	2519.19719376911	2321.2830219663
B9J08_05539	1899.81811986772	1977.23516597288	2860.49192116044	3570.13237334733	4153.359559308	7650.96413086135
B9J08_05538	3442.13126181099	2116.79272276746	2151.83924788717	2196.5301102554	2009.95421212323	2113.90615256874
B9J08_05537	10908.4852238484	6883.14168803645	5313.04639040183	7568.46917252062	6897.70437357971	4886.25775681915
B9J08_05536	16742.0039501732	12071.2193285825	9102.79764312409	15529.0185291823	15677.6428545612	8741.36508930662
B9J08_05535	9183.98204507827	8684.147238495	14518.1365063636	7220.44294165384	7429.05275796585	14717.068150795
B9J08_05534	170.731543944686	188.453635087575	380.823784419895	273.134510300511	192.398875702223	1438.2589329186
B9J08_05533	1518.25030689067	1941.58177555091	1990.38968232405	2118.99515249268	2010.77293074324	1706.79764398181
B9J08_05532	1219.18364266541	1090.99374691239	1100.56841257918	1202.67292438774	874.391486170105	1224.19248708886
B9J08_05531	9300.85867247664	9491.95119862715	8940.11563812918	10100.690406726	10244.6260921784	8572.21437095008
B9J08_05530	4217.87122993551	3090.63961543623	4534.14466951713	3776.30487467094	3034.98992437507	4385.49517818171
B9J08_05529	42744.7618477355	35315.1925471138	44842.3087253006	15162.4896379403	25753.6129110176	49877.4818783307
B9J08_05528	2617.11977429305	2691.32164271012	2373.6783456075	2368.34052802508	2058.25861070379	2176.97930178643
B9J08_05527	7717.29495615747	8093.31962578801	5770.28141959206	5047.70196616655	7920.28392997153	6836.7471136875
B9J08_05526	0	3.05600489331202	4.92975772711838	9.69186972034073	0	0.955653776025649
B9J08_05525	1670.64826222384	1445.49031453659	1365.54289041179	1491.66685786699	1202.6976527939	1869.25878590617
B9J08_05524	5049.75781318277	4027.81444938525	3269.66181251126	3132.23607780103	3567.97574600123	2652.8948822472
B9J08_05523	1887.21377769731	1583.01053473563	2421.7434834469	1456.42369524757	1562.11512697805	2594.60000190964
B9J08_05522	15112.6062623253	12564.2547847035	6656.40537104159	10012.5825001775	15296.1199776368	6577.76494038455
B9J08_05521	1490.7499239734	1522.90910516716	1454.27852949992	1436.1588767414	1618.60671175871	1274.84213721822
B9J08_05520	2193.15553765188	2780.96445291394	1570.1278360872	2501.38346691339	2782.82458941216	1628.43403434771
B9J08_05519	222.294761914558	276.059108695853	253.882522946597	123.351069167973	275.908174943189	141.436758851796
B9J08_05518	6279.25409944216	5598.60096454763	8692.39531234148	6504.12566141411	4051.83845042683	8972.63330310482
B9J08_05517	22.9169857643874	9.16801467993607	7.39463659067757	8.81079065485521	6.54974896007569	12.4234990883334
B9J08_05516	8177.92637002166	6518.45843743455	7536.36712533222	5262.68525814501	5303.65922042129	6076.04670797108
B9J08_05515	9035.02163760975	7971.07943005553	17980.0588702325	7775.52275290972	5420.73598308265	19511.5831451157
B9J08_05514	3471.9233433047	3878.07020961296	5603.90209630182	4006.26651076266	3551.60137360104	6822.41230704711
B9J08_05513	3389.4221945529	3735.45664792506	2756.96700889095	4076.7528360015	3890.55088228496	2722.65760789708
B9J08_05512	6062.6885839687	4172.46534766868	2965.2492728617	4599.23272183442	5166.1144922597	3173.72619018118
B9J08_05511	12756.7401257463	10495.3394719313	9770.77981514863	14039.9949085118	12673.7642377465	11730.6501007148
B9J08_05510	1260.43421704131	2482.49464166713	2485.83033389944	2057.31961790869	2209.72155540554	2401.55793915246
B9J08_05509	12355.6928748695	10224.3737047243	12193.7557380273	13989.7734017791	7411.85966694566	7054.63617462134
B9J08_05508	448.027071693774	777.243911199025	439.980877145315	355.074863390665	1012.7549329517	721.518600899365
B9J08_05507	4291.20558438155	4017.62776640754	5684.01065936749	4153.40671469874	3387.85764959915	4872.87860395479
