	SRR28790276	SRR28790278	SRR28790280	SRR28790270	SRR28790272	SRR28790274
B9J08_05506	14128.3217237449	14550.6579653563	18673.9222703244	9202.87083899626	11343.3464802311	14917.7554437604
B9J08_05505	8551.47323798117	5960.22821025622	8051.52680781609	4986.02643158256	4747.74927743487	8732.76420532238
B9J08_05504	6710.09343181264	8138.14103088992	7287.41436011274	7701.51211140893	7989.05629405233	6655.17289624262
B9J08_05503	53756.3735075236	31294.5087758129	19439.2671574595	30598.9948652466	32266.5195331929	40738.5648181974
B9J08_05502	88.2303951928916	43.802736804139	130.638579768637	34.3620835539353	114.620606801325	152.904604164104
B9J08_05501	7865.10951433777	9725.22623881663	11157.2741759007	6419.5420711275	7258.75928500389	7068.97098126173
B9J08_05500	2390.24161522561	2983.67944417031	3396.60307398456	3679.38617746753	2853.23439073297	3611.41561960093
B9J08_05499	1095.43191953772	1321.21278220857	868.869799404614	1628.23411301724	1631.70620967886	847.664899334751
B9J08_05498	2760.35093532047	3012.20215650789	2675.6260063935	3660.88351709234	3443.5305157598	2622.31396141438
B9J08_05497	1263.87176490597	2666.87360356363	3015.77928956467	2080.22767361131	1725.85885097994	3382.05871335477
B9J08_05496	8569.80682659268	6186.37257236131	8392.91253041904	9305.95708965807	7894.08493413123	4611.98512309978
B9J08_05495	4622.35602867695	6311.6687729871	6193.00814469246	5712.03558154263	5618.86588912494	6016.79617385749
B9J08_05494	20148.6138840494	14687.1595172576	28574.1082258099	16114.9361077302	12569.7869730053	28413.4980687946
B9J08_05493	9209.19072941909	7634.91889179121	21864.7079592018	7104.14050500975	3983.88480496604	21163.908523864
B9J08_05492	524.798974004472	489.979451227695	735.766340772418	629.971531822147	413.452903104778	957.565083577701
B9J08_05491	134927.191235696	115320.381985725	82095.2554297024	3598.32690344287	104272.003444405	18717.4348572384
B9J08_05490	2596.4944871051	2283.85432360185	11746.3802242913	65.1998508459285	227.60377636263	142.392412627822
B9J08_05489	4121.61988972508	3637.66449133908	3676.36682499853	4593.9462474415	3622.82989354187	3264.51329890362
B9J08_05488	49720.692314415	34103.9959410644	33625.8774566745	16236.5250187672	22577.8033840009	23633.3178811143
B9J08_05487	31652.9407377719	29494.5218936521	16467.8556874389	25766.2761910586	34735.7748911414	15137.5558122463
B9J08_05486	11395.4711713417	10090.9281577163	22399.5866725941	9321.81651283681	5712.19981180601	22360.3870514481
B9J08_05485	1922.73510563211	2087.25134213211	3413.85722602948	3269.68441201677	2303.05547808662	4401.74129237414
B9J08_05484	2955.14531431776	3016.27682969897	2438.99763549182	2736.63157739803	3150.42924979641	2007.82858342989
B9J08_05483	13924.3605504418	10936.422844866	16899.2094885618	11521.8709393542	10924.1625467862	15909.724063275
B9J08_05482	1023.2434143799	683.526427804123	695.095839523691	623.803978363748	774.507814528951	838.108361574495
B9J08_05481	1325.74762646981	1579.95452984232	1084.54669996604	1386.81844907421	1788.90018472067	1099.95749620552
B9J08_05480	13934.6731940358	9571.40732585326	6875.77958989836	10972.9586815567	9811.52394219339	5994.8161370089
B9J08_05479	6782.28193697046	7108.26738184377	8158.74903838092	7823.98210151142	3222.47648835724	8288.38519947046
B9J08_05478	615.321067773803	525.632841649668	385.753542147013	528.647439291312	591.933562266841	585.815764703723
B9J08_05477	8773.76799989573	9246.45213886442	12773.0022709637	8355.27277799919	7885.07902931112	12921.3947056428
B9J08_05476	2907.01964421255	3674.33655005882	3848.90834544767	3415.94353688736	3355.92762341878	3885.68825332029
B9J08_05475	4.58339715287749	13.2426878710188	3.69731829533878	106.610566923748	39.2984937604542	8.60088398423085
B9J08_05474	27094.7522692353	17712.6043616365	26540.5831633736	16723.7617419807	15084.8905736743	17262.9298101273
B9J08_05473	6894.57516721596	6128.30847938838	3656.64779409006	5011.57772448164	4749.38671467489	1374.23012992488
B9J08_05472	5328.19919022008	6781.27485825938	6036.48833685646	7568.46917252062	5920.97305990843	7039.34571420493
B9J08_05471	15715.3229879287	12144.563446022	6740.2112524026	12365.9446840893	12495.2835785844	6681.93120197134
B9J08_05470	72.1885051578204	117.146854243628	101.060033405927	172.691496835162	88.4216109610219	61.1618416656416
B9J08_05469	91755.0276034544	99803.0078057841	52439.06538279	73909.3174082529	130850.884724392	57616.3661565864
B9J08_05468	1677.52335795316	3263.81322605724	3171.0666579689	3160.43060789656	2672.29757571088	3477.62409095734
B9J08_05467	61.8758615638461	101.866829777067	129.406140336857	70.4863252388416	74.503394420861	649.844567697442
B9J08_05466	2449.82577821302	1960.93647320855	1970.67065141557	2884.65286039959	2384.10862146755	1967.69112483681
B9J08_05465	600.425027026951	1671.63467664168	1137.54159553257	1667.0015918986	1848.66664398136	1090.40095844527
B9J08_05464	2306.5946171856	2224.77156233115	2845.70264797908	2855.57725123857	2306.33035256665	2521.97031493169
B9J08_05463	23142.7180741667	19280.3348719056	19550.1867063197	27732.8446652222	16835.3109832546	17791.4063482695
B9J08_05462	1330.33102362269	1722.56809153021	1573.82515438254	1338.35910047251	1303.40004305506	1357.98401573245
B9J08_05461	17954.3124971093	29504.7085766298	36759.97093169	7008.98396593732	16754.2578398736	16124.7461628808
B9J08_05460	14659.9957934786	10783.6226002004	9486.08630640754	12343.9177074521	10893.8699578459	9649.23617653098
B9J08_05459	18212.1285869587	12813.8285176573	14837.3383191945	11128.9096761476	10220.8832521981	8592.28310024661
B9J08_05458	4104.43215040179	6515.40243254124	5899.68755992892	7075.06489584873	5142.37165227943	4823.18460760145
B9J08_05457	4526.10468846652	3803.7074238757	3332.51622353202	3339.28965819012	3972.42274428591	3258.77937624746
B9J08_05456	1598.45975706602	1407.79958751907	935.421528720712	1571.84505282617	1446.67580155672	1201.25679646424
B9J08_05455	2888.68605560104	3497.08826624673	3915.46007476377	2936.63652526324	2733.70147221159	2795.28729487502
B9J08_05454	15480.4238838437	15855.5720548006	14981.5337327128	15862.0664159358	16430.8639849699	14108.3166954667
B9J08_05453	21216.5454206699	18912.5956164103	37997.3401211967	12984.4621880601	13868.2747043403	38318.8494573005
B9J08_05452	6357.17185104108	4269.2388359569	5700.03237198063	3865.29386028498	4087.04335108723	4988.51271085389
B9J08_05451	3871.82474489326	3022.38883948559	2048.31433561769	2792.13955852361	2849.95951625294	2092.88176949617
B9J08_05450	2389.09576593739	1892.68569725791	2525.26839571639	2281.9947796075	2000.94830730312	3171.81488262913
B9J08_05449	7954.48575881888	7238.65692395842	7100.08356648225	5701.4626327568	6438.40322775441	5661.29296917595
B9J08_05448	2327.21990437354	2004.73921001269	1554.10612347407	2995.66882265077	2470.07407656855	2017.38512119015
B9J08_05447	4275.16369434648	4094.02788874034	2964.01683342993	3128.71176153908	3255.22523315762	2296.43602378964
B9J08_05446	24175.1282828523	19366.9216772161	16009.3882188169	18725.5733787638	17876.7210679066	14240.1969165582
B9J08_05445	17879.8322933751	17263.3716423196	30257.6204896208	8064.51668638897	4923.7737807369	16341.6795700386
B9J08_05444	3565.88298493869	4212.19341128174	4290.12166202477	5609.83040994631	3902.01294296509	4538.39978234581
B9J08_05443	1488.45822539696	1461.78900730092	1748.83155369525	2424.72958821615	1608.78208831859	1678.12803070104
B9J08_05442	3372.23445522961	3992.16105896327	3062.61198797229	3953.40176683353	4216.40089304873	2378.62224852784
B9J08_05441	1781.79564318112	1452.62099262098	1133.84427723723	1551.58023432	1218.25330657408	1781.33863851181
B9J08_05440	7552.29265865388	7805.03649751891	6037.72077628823	7452.16673587653	7673.03090672867	6798.52096264647
B9J08_05439	13606.960297605	10001.2853475125	14608.1045848835	9099.78458833446	7257.12184776387	15686.101079685
B9J08_05438	8691.26685114394	11242.0233341972	11662.5743429303	11622.3139528195	10771.8808834645	12894.6363999141
B9J08_05437	9.16679430575498	14.2613561687894	12.3243943177959	13.2161859822828	32.7487448003785	26.7583057287182
B9J08_05436	8462.09699350006	5775.84924835973	4828.69769371245	5749.92198135851	6903.43540391978	5939.38821799941
B9J08_05435	1259.28836775309	1144.98316669424	838.058813610125	1375.3644212229	1569.48359455814	1015.85996391527
B9J08_05434	3850.05360841709	5695.37445283584	13025.6523544785	6771.09261825623	4664.2399781939	14614.8131967603
B9J08_05433	8009.48652465341	6672.27735039792	4796.65426848618	4132.26081712709	5446.11626030294	3236.79933939887
B9J08_05432	72665.1784617197	47942.604766279	59958.1783560773	51035.6237891833	49639.7286497937	65916.2192013692
B9J08_05431	9227.5243180306	21041.6123587511	16881.9553365169	21343.2592823212	23448.101277071	16034.9147079344
B9J08_05430	33812.8666460654	34789.5597054641	204319.97119758	3126.06852434263	30912.3589356972	256826.218384237
B9J08_05429	975.117744274686	1087.93774201908	987.183984855455	1822.95258648954	853.104802049859	800.837864309494
B9J08_05428	0	0	0	0	0	0
B9J08_05427	892.616595522891	1482.16237325633	1430.86218029611	1218.53234756647	1420.47680571642	1919.90843603553
B9J08_05426	4.58339715287749	1.01866829777067	0	7.04863252388416	9.00590482010408	0.955653776025649
B9J08_05425	902.929239116865	779.281247794566	601.430442708442	747.155047531721	806.43784070932	823.77355493411
B9J08_05424	13005.3894212899	14126.8919534837	12906.1057295959	16397.762487751	14752.4908139505	12819.1397516081
B9J08_05423	2029.29908943651	1918.15240470218	1027.85448610418	1239.67824513813	785.969875209083	430.044199211542
B9J08_05422	4379.43597957444	3661.0938621878	2260.29391788378	4819.5024882058	4022.36458010648	2315.54909931015
B9J08_05421	11318.699269031	11355.0955152497	6263.2571923039	14857.6362812823	15883.1412281836	9692.24059645214
B9J08_05420	1384.185940169	1147.02050328978	1098.10353371562	1267.87277523366	1205.97252727394	1029.23911677962
B9J08_05419	1400.22783020407	1554.48782239805	1227.50967405248	1881.10380481159	1661.99879861921	853.398821990905
B9J08_05418	3392.85974241756	3216.95448435979	1804.29132812533	1345.40773299639	2722.23941153146	1126.71580193424
B9J08_05417	12.6043421704131	8.1493463821654	7.39463659067757	0.881079065485521	5.73103034006623	6.68957643217955
B9J08_05416	7719.58665473391	5711.67314560017	4556.32857928916	7768.47412038583	7501.09999652669	5515.07794144402
B9J08_05415	2219.51007128092	1782.66952109868	928.026892130035	3053.82004097281	1781.53171714059	619.263646864621
B9J08_05414	10021.5978747666	8459.02154468768	7414.35562158604	8006.36546806693	8346.01761237645	7675.81112903802
B9J08_05413	4803.40021621561	5660.73973071164	3158.7422636511	5030.96146392232	6607.05926347636	3484.31366738952
B9J08_05412	12.6043421704131	5.09334148885337	7.39463659067757	2.64323719645656	12.2807793001419	21.9800368485899
B9J08_05411	12423.2979828744	10067.4987868676	12631.2717363091	8213.41904845602	9597.83838237092	15539.8860519531
B9J08_05410	2887.54020631282	2517.12936379134	2347.79711754013	2381.55671400736	2413.58249178789	2408.24751558464
B9J08_05409	21501.8618934365	20935.6708557829	31880.7432212746	21526.5237279422	19788.4290456287	34285.0348686962
B9J08_05408	4262.55935217606	4271.27617255244	1631.74980767618	4639.76235884675	5148.9214012395	1116.20361039796
B9J08_05407	3439.83956323455	3608.12311070373	2530.19815344351	5009.81556635067	4751.02415191491	2456.03020438592
B9J08_05406	1756.5869588403	1378.25820688372	1131.37939837367	1411.4886629078	1661.1800799992	1087.53399711719
B9J08_05405	1842.52565545675	1135.8151520143	1616.96053449483	1351.57528645479	1091.35192047261	1743.11248747078
B9J08_05404	8794.39328708368	4732.73291144255	9481.15654868042	6052.13210082004	3861.89573058463	10709.0562141434
B9J08_05403	838.76167897658	902.540111824818	585.408730095308	1160.38112924443	1337.78622509546	822.817901158084
B9J08_05402	15366.98480431	13192.773124428	13171.0802074285	13191.5157684492	13399.1489350748	14425.5937491072
B9J08_05401	2362.74123230834	5013.88536162726	4898.94674132389	5926.13779445561	5279.09766182101	4822.22895382543
B9J08_05400	23116.3635405376	26080.9644278226	21084.5737988853	25708.1249727365	29201.2370198775	20541.7779156713
B9J08_05399	350.629882195128	358.571240815278	266.206917264392	476.663774427667	401.172123804636	271.405672391284
B9J08_05398	6.87509572931623	41.7654002085977	43.1353801122858	56.3890601910733	126.901386101467	48.7383425773081
B9J08_05397	4546.72997565447	4935.44790269892	7687.95717544111	5035.36685924975	4801.78470635549	7666.25459127776
B9J08_05396	2819.93509830787	2647.51890590598	3926.55202964979	1821.19042835857	2048.43398726367	4567.06939562658
B9J08_05395	1636.27278357726	1738.86678429454	1764.85326630838	1187.69458027448	1766.79478198042	1551.98173226565
B9J08_05394	3687.34300948994	3103.88230330725	3803.30808647183	3130.47391967005	3132.4174401562	3417.41790306772
B9J08_05393	2010.965500825	2773.83377482955	2225.78561379395	1864.36330256736	2334.98550426698	1592.11919085873
B9J08_05392	8751.99686341956	8941.87031783098	8507.52939757454	3577.18100587121	3882.36369608487	3066.69296726631
B9J08_05391	2786.70546894951	2434.61723167191	875.031996563512	1223.81882195939	3130.78000291618	1921.81974358758
B9J08_05390	3237.02423921973	4405.74038785817	4136.06673305232	4179.83908666331	4051.83845042683	2863.13871297285
B9J08_05389	2082.0081566946	2376.55313869898	3188.32081001381	1994.76300425922	1920.7138825422	4452.3909425035
B9J08_05388	5.72924644109686	0	2.46487886355919	5.28647439291312	0	0
B9J08_05387	146.66870889208	172.154942323244	133.103458632196	132.161859822828	112.164450941296	91.7427624984624
B9J08_05386	1671.79411151206	1578.93586154455	2227.01805322573	1863.48222350188	2007.4980562632	2572.61996506105
B9J08_05385	13741.0246643267	11646.4346484121	12208.5450112087	18187.2340697521	9637.13687613137	17101.424321979
B9J08_05384	5700.60020889138	8339.83735384851	12750.8183611917	7989.6249658227	6824.01969777886	13580.7958111005
B9J08_05383	4551.31337280735	3910.66759514162	3555.58776068413	4782.49716745541	4747.74927743487	3648.68611686593
B9J08_05382	1790.96243748688	1839.71494577384	676.609248046998	4672.36228426972	3726.80715828307	457.758158716286
B9J08_05381	6852.17874355184	9573.4446624488	7994.83459395423	9215.20594591306	10492.6978340413	8145.99278684264
B9J08_05380	4359.95654167471	4647.16477442982	3041.66051763204	3626.5214335384	4678.15819473406	2715.01237768887
B9J08_05379	7497.29189281935	5067.87478140911	4206.31578066376	5337.57697871128	6621.79619863653	4385.49517818171
B9J08_05378	3125.87685826245	3413.55746582953	4815.14085996288	3516.38655035271	3158.6164359965	5501.69878857966
B9J08_05377	80511.9543874459	57916.3860697517	73470.6442861088	59003.2217783689	57765.5109533876	88226.912256464
B9J08_05376	16809.6090581782	16136.7245049853	11131.3929478333	98242.959038832	24504.2482968832	11044.4906895284
B9J08_05375	25869.8393801288	30690.4384752349	29019.0188606823	29281.7816623458	31847.335599748	29665.4045153882
B9J08_05374	8151.57183639261	7717.43102391063	7139.52162829919	6114.68871446951	7786.01407628998	7697.79116588661
B9J08_05373	51777.4917867688	59931.3119627421	71560.3631668504	58504.531027304	59612.5401601289	66721.8353345588
B9J08_05372	4950.06892510769	5673.98241858266	4180.43455259639	6603.68759581398	6820.74482329882	4225.90099758542
B9J08_05371	7218.85051578204	8085.17027940585	6072.22908037806	8867.17971504628	7851.51156589074	4159.96088703965
B9J08_05370	2783.26792108485	3283.16792371488	1508.50586449822	3822.12098607619	4781.31674085526	1228.01510219296
B9J08_05369	4314.12257014594	4111.34524980244	3636.92876318158	3616.82956381806	3533.58956396084	2690.1653795122
B9J08_05368	5746.43418042015	6472.61836403487	5395.61983233107	5461.80912694474	6201.79354657167	4994.24663351004
B9J08_05367	3984.11797513876	4482.14051019097	3529.70653261676	4139.30944965098	5446.11626030294	3570.32250723183
B9J08_05366	10649.5232847108	9122.17460653639	1798.12913096643	5540.22516377295	5798.16526690701	1697.24110622155
B9J08_05365	2817.64339973144	4625.77274017663	5129.41291506667	3437.08943445902	4993.36486343771	4857.58814353838
B9J08_05364	7037.80632824338	10044.0694160189	21249.7206827438	15142.2248194342	11376.9139436515	26671.3412350999
B9J08_05363	9871.49161800989	8460.04021298545	9281.50136073213	8049.53834227571	8730.8153637809	9137.00575258124
B9J08_05362	4499.75015483747	3488.93891986456	4091.69891350825	4174.5526122704	3436.98076679972	3167.036613749
B9J08_05361	13752.4831572089	17377.4624916699	11674.8987372481	9343.84348947394	19417.5495107644	27007.7313642609
B9J08_05360	124426.628358453	94578.2581065183	115525.175016724	81977.3584109038	131270.068657837	161373.607927243
B9J08_05359	53184.5947127021	55207.7470659795	35883.7064956947	51428.5850523898	67330.6005909581	34083.3919219548
B9J08_05358	7727.60759975144	8124.8983430189	13814.4135908175	8298.00263874263	7543.67336476718	13570.2836195642
B9J08_05357	5159.75934485183	7068.53931823071	6376.64162002762	7915.61432432192	7813.03179075029	7077.57186524596
B9J08_05356	14348.324787083	18930.9316457702	17922.1342169389	16973.1071175131	16969.5808369361	15082.1278932368
B9J08_05355	35776.8523260735	24909.4958853863	30772.7801721047	23998.8315856946	28737.0235623321	37891.672219417
B9J08_05354	2716.80866236813	3659.05652559226	2594.28500389605	2348.9567885844	3265.86857521774	2437.87278264143
B9J08_05353	2080.86230740638	2665.85493526586	2346.56467810835	2438.82685326392	2831.94770661273	2982.59543497605
B9J08_05352	24642.6347924458	26002.5269688942	20971.1893711616	31550.560255971	38809.7187443085	26061.6341259955
B9J08_05351	8667.20401609133	9673.27415563033	10806.0289378435	10016.9878955049	9088.59540072503	10531.3046118027
B9J08_05350	4451.62448473226	4893.68250249032	3311.56475319177	4245.03893750924	4924.59249935691	2460.80847326605
B9J08_05349	3442.13126181099	3301.50395307476	7811.20111861907	3189.50621705758	2090.18863688416	7645.2302082052
B9J08_05348	2712.22526521525	2770.77776993624	6658.87024990515	2771.87474001745	1641.53083311897	6528.07094403121
B9J08_05347	2425.76294316041	3464.49088071807	2657.13941491681	4038.86643618563	3455.81129505994	2485.65547144271
B9J08_05346	5454.24261192421	5658.7023941161	4357.90583077265	6217.77496513132	5531.26299678392	3807.32464368619
B9J08_05345	1597.3139077778	1608.4772421799	1777.17766062618	1443.20750926528	1801.18096402082	1858.74659436989
B9J08_05344	8049.59124974109	8135.08502599661	4097.86111066715	20613.7258160992	12204.638468481	6170.65643179762
B9J08_05343	225.732309779216	180.304288705409	129.406140336857	3782.47242812934	332.399759723841	421.443315227311
B9J08_05342	147.814558180299	142.613561687894	177.471278176262	146.259124870596	129.357541961495	211.199484501669
B9J08_05341	0	2.03733659554135	0	0	4.91231172005677	0
