	SRR28791433	SRR28791434	SRR28791437	SRR28791438	SRR28791430	SRR28791431	SRR28791432
B9J08_05593	652.594947766002	548.452467809161	532.667866215341	896.159495698545	639.282393406141	666.989263710387	367.192089261049
B9J08_05592	340.067825991825	853.976261018068	435.040636716066	213.538004834419	129.732123845256	108.774234762805	67.2780207696844
B9J08_05591	74.2401591953984	189.275715792835	101.909125529945	47.2584109059779	37.5129032805559	46.6175291840593	50.2558709363908
B9J08_05590	8161.02911284254	5933.86820810373	5408.03468673614	11021.7116101831	13943.85875691	12622.5925175299	6573.79214990531
B9J08_05589	38.3175015202056	46.2011589730543	51.3827523680393	17.5031151503622	26.5716398237271	57.3754205342268	44.5818209919595
B9J08_05588	756.770655024061	1438.19736803217	1298.27087649913	647.615260563402	668.980108503247	688.505046410722	935.40766226766
B9J08_05587	310.132277929164	287.639473606435	273.184966756742	399.071025428258	675.232259050007	785.32606856223	646.841693665158
B9J08_05586	168.836491073406	172.136576173799	142.158948218242	234.541743014854	406.389785539356	557.019707686452	342.064153792853
B9J08_05585	1433.91275220144	1693.79410235085	1624.55135403618	1773.06556473169	1836.56922311055	2005.74907617568	2014.28773027308
B9J08_05584	213.739813167397	160.958876422254	167.850324402262	141.775232717934	273.53158642072	253.408107359502	253.711090372424
B9J08_05583	404.728609807172	441.146550194325	496.699939557713	411.323206033512	329.800941341554	399.237301217328	397.994074673675
B9J08_05582	1126.77402907855	1389.01548912537	1346.22811204263	1093.94469689764	955.015996017486	1004.06985934897	707.635085926921
B9J08_05581	578.354788570604	622.22528616936	725.353187595488	572.351865416844	465.78521573357	498.448965891096	706.824507363431
B9J08_05580	5219.56216020551	4992.70588902361	4588.47978646591	5429.46631964236	5734.78508901499	5823.60518422402	4327.67895047404
B9J08_05579	1018.40734509172	1038.03571692685	1174.95227081583	1076.44158174728	1950.67097058891	1540.76910559622	1196.4139597115
B9J08_05578	3277.94251286134	3290.71480685496	3083.82152128849	3173.31477676067	3226.10968212781	2904.63066454523	3222.86036843693
B9J08_05577	1201.01418827394	1131.92839483983	1062.76659481228	1016.93099023604	1367.6579321036	1323.22063607061	1075.63775375146
B9J08_05576	9496.75326739846	13061.5147496725	7607.21648808822	9171.63233878979	6592.89275155771	5766.2297636898	7548.1075832205
B9J08_05575	552.011506275462	545.471747875415	509.545627649723	637.113391473184	672.106183776627	812.818457568213	660.621529244491
B9J08_05574	310.132277929164	315.21113299358	249.206348984991	379.81759876286	304.792339154517	329.908668071804	292.618861419953
B9J08_05573	459.211307281214	508.212748703597	453.02460004488	733.380524800176	878.427151819685	1460.68258110052	471.756723951281
B9J08_05572	2732.51682715966	2143.88281234641	2015.06027203328	3736.91508460233	3660.63414512758	3597.91699600047	2738.9449660333
B9J08_05571	431.670603063566	330.114732662307	345.977199278131	479.585355119924	392.322446809147	455.417400490425	483.104823840143
B9J08_05570	1673.99584766398	1793.64822013132	1680.21600243489	2937.02272223078	4682.86075952273	7966.81620542962	4578.95830515599
B9J08_05569	447.835799017403	375.570711651925	390.508917997099	572.351865416844	540.811022294681	451.831436707036	497.695237982966
B9J08_05568	367.608530209473	346.508692297907	353.684612133337	518.092208450721	676.795296686697	650.254766054571	599.828136982728
B9J08_05567	114.353793599364	112.52217749889	121.605847271026	82.2646412067024	137.547312028705	131.48533872427	137.798355793329
B9J08_05566	658.582057378534	794.361862343159	769.028527108322	411.323206033512	271.968548784031	270.142605015318	362.328617880108
B9J08_05565	1345.30352993597	1231.7825126203	1297.41449729299	1211.21556840506	1055.05040476564	962.233615209429	1481.73761406004
B9J08_05564	483.758456692596	465.737489647725	433.327878303798	577.602799961953	473.600403917019	461.394006796074	531.739537649554
B9J08_05563	1051.33644796064	1029.83873710905	1258.87743301696	952.169464179704	992.528899298042	1053.07803105529	1168.85428855283
B9J08_05562	2.99355480626606	3.7258999171818	0	3.50062303007244	0	1.19532126112973	0
B9J08_05561	830.412103258206	857.70216093525	959.144710870067	603.857472687496	633.030242859381	637.106232182144	727.088971450686
B9J08_05560	2414.00259577295	2551.49626328609	2309.65471894337	2116.12662167879	2516.49059507063	2393.03316478171	2491.71850416879
B9J08_05559	125.729301863175	161.70405640569	152.43549869185	117.270871507427	95.3452958380797	108.774234762805	146.714719991721
B9J08_05558	3010.31871318115	2523.92460389895	2756.68466454531	2858.25870405415	2086.65524498092	2088.22624319363	2727.59686614443
B9J08_05557	2195.47309491553	1748.1922411417	1397.61086441067	3346.59561674925	3011.9735259013	3068.38967732001	1961.60012364622
B9J08_05556	659.779479301041	912.100299726104	948.011781190325	556.599061781518	501.735081377436	482.909789496409	587.669458530376
B9J08_05555	1766.79604665823	2441.95480572095	2304.51644370656	1862.33145199854	1709.96317453867	1906.53741150191	2019.15120165402
