paper_gene,our_gene,paper_lfc,our_lfc,paper_name
B9J08_002055,B9J08_03128,1.549234935,1.54846858711552,
B9J08_003657,B9J08_01515,3.082734328,3.08641968025018,
B9J08_003563,B9J08_01421,1.49771691,1.49755038630123,
B9J08_001952,B9J08_03025,-1.640500652,-1.6403280468268,
B9J08_001673,B9J08_00143,2.142481412,2.14229696195215,
B9J08_005560,B9J08_05240,-3.077447365,-3.08414148106993,
B9J08_004097,B9J08_01954,-1.421728708,-1.42587943149169,
B9J08_003491,B9J08_01350,-2.322053946,-2.32638076426972,
B9J08_002660,B9J08_00520,3.040690684,3.04788448606784,
B9J08_000170,B9J08_02129,-1.74827222,-1.74759677815511,
B9J08_005317,B9J08_04200,-2.116388369,-2.11569491563978,
B9J08_004098,B9J08_01955,3.041084229,3.04016964066711,
B9J08_001948,B9J08_03021,-2.186250054,-2.17740360279586,
B9J08_003694,B9J08_01552,1.892605862,1.88386861330804,
B9J08_003910,B9J08_01768,1.629414231,1.62815271274088,
B9J08_001515,B9J08_03765,5.163949028,5.16525131986317,
B9J08_004775,B9J08_04735,-1.55091249,-1.55858182413945,TPO3
B9J08_001660,B9J08_00130,2.513548103,2.51547492024281,
B9J08_004798,B9J08_04758,-1.642345188,-1.64961374411208,
B9J08_000834,B9J08_02792,-2.183136408,-2.18520140174299,
B9J08_001155,B9J08_03405,3.88616764,3.89354654123344,
B9J08_004200,B9J08_04954,-2.633439453,-2.63117846758157,
B9J08_004544,B9J08_04503,2.978247066,2.97577645008739,
B9J08_000724,B9J08_02682,2.258819336,2.25621879227164,
B9J08_001899,B9J08_00369,3.890896381,3.88399787127885,
B9J08_004842,B9J08_04802,2.413905046,2.41117644080555,
B9J08_004204,B9J08_04958,2.973014424,2.92797515300241,
B9J08_000438,B9J08_02396,-2.530768008,-2.52797911889936,
B9J08_004830,B9J08_04790,-2.029188872,-2.04671589182776,
B9J08_002227,B9J08_03300,2.089244844,2.09757739296401,
B9J08_001132,B9J08_03382,1.742351286,1.73864507197705,
B9J08_002217,B9J08_03290,-1.828012597,-1.83195151647982,
B9J08_002251,B9J08_05261,1.878771708,1.87473976455099,
B9J08_004109,B9J08_04863,3.624762839,3.62069881265553,
B9J08_003449,B9J08_01308,-1.69101864,-1.68650854025936,
B9J08_004446,B9J08_05200,3.552788117,3.54731191561424,
B9J08_004365,B9J08_05119,-2.518487576,-2.52335272364871,
B9J08_002244,B9J08_05254,-3.032463794,-3.0375314870724,
B9J08_000594,B9J08_02552,1.623024118,1.61312610666956,
B9J08_002886,B9J08_00745,2.298180043,2.29293203467254,
B9J08_004545,B9J08_04504,3.32557288,3.31999817562365,
B9J08_000398,B9J08_02356,2.121091351,2.10906652508345,SAP7
B9J08_000221,B9J08_02180,-2.424533076,-2.43040336740899,
B9J08_004066,B9J08_01923,2.854418732,2.84790304319593,
B9J08_001362,B9J08_03612,2.522523949,2.50699153138433,
B9J08_004444,B9J08_05198,-2.122859656,-2.13525235510152,
B9J08_001520,B9J08_03770,-2.395215112,-2.38795162164628,
B9J08_004161,B9J08_04915,2.570438646,2.57779362890475,ERG5
B9J08_004479,B9J08_04438,2.236139057,2.22869122890135,
B9J08_002951,B9J08_00809,-1.872277898,-1.87972687742772,
B9J08_003981,B9J08_01838,-4.034310333,-4.04180627768201,MDR1
B9J08_004112,B9J08_04866,5.069252626,5.0771407603848,ALS4112
B9J08_004602,B9J08_04561,3.251021232,3.24071230964794,
B9J08_002256,B9J08_05266,2.496233047,2.47516529523252,
B9J08_002480,B9J08_05490,-5.266080783,-5.25528553084081,
B9J08_000117,B9J08_02076,2.758624087,2.74723176582544,
B9J08_000008,B9J08_01967,2.304913816,2.28859057261008,
B9J08_004100,B9J08_01957,4.965966819,4.95385798184543,
B9J08_002218,B9J08_03291,-1.899580713,-1.91787438026683,
B9J08_000656,B9J08_02614,-4.267964232,-4.28168916504559,MGD1
B9J08_000266,B9J08_02225,1.914482416,1.89878012642302,
B9J08_002333,B9J08_05343,3.062818239,3.08257794395423,
B9J08_004135,B9J08_04889,1.858636846,1.89377747359217,
B9J08_004514,B9J08_04473,1.679008015,1.66275868147136,
B9J08_002630,B9J08_00490,3.374752104,3.35790769380025,
B9J08_000005,B9J08_01964,2.457678612,2.47465287299437,
B9J08_003903,B9J08_01761,-2.460713295,-2.47777539837392,
B9J08_000592,B9J08_02550,5.991984446,6.01594900969367,
B9J08_001581,B9J08_00052,4.336657823,4.31136011895136,
B9J08_005072,B9J08_03955,4.733923989,4.76124119282706,
B9J08_003908,B9J08_01766,-3.441573375,-3.47339159212631,
B9J08_001549,B9J08_00020,-6.124676706,-6.08888360433564,
B9J08_003891,B9J08_01749,4.000801888,3.94731588363475,
B9J08_001458,B9J08_03708,8.611549656,8.66898543467797,SCF1
B9J08_004451,B9J08_05205,6.809597233,6.73646112967228,
B9J08_002136,B9J08_03209,-10.0,-14.9824658979084,
