paper_gene,our_gene,paper_lfc,our_lfc,paper_name
B9J08_003891,B9J08_01749,4.951269586,4.91422185844526,
B9J08_001458,B9J08_03708,4.466069724,4.52534752630344,SCF1
B9J08_004100,B9J08_01957,3.676295329,3.66163748259387,
B9J08_004109,B9J08_04863,3.139694524,3.13207569781196,
B9J08_004544,B9J08_04503,2.976287487,2.97057329370876,
B9J08_000846,B9J08_02804,2.865475738,2.87469070396989,
B9J08_004451,B9J08_05205,2.859214855,2.893205468385,
B9J08_004112,B9J08_04866,2.557540007,2.56386557239991,ALS4112
B9J08_002459,B9J08_05469,2.548008686,2.54980412198817,
B9J08_000595,B9J08_02553,2.493072142,2.47748505905136,
B9J08_001899,B9J08_00369,2.4828413,2.47673041290748,
B9J08_000724,B9J08_02682,2.455685682,2.45399812413595,
B9J08_001362,B9J08_03612,2.451522275,2.43208840367222,
B9J08_002381,B9J08_05391,2.428297226,2.43209207398399,
B9J08_004987,B9J08_03870,2.32189263,2.32123495637334,
B9J08_001621,B9J08_00091,2.26987352,2.27191581603793,
B9J08_004446,B9J08_05200,2.263328713,2.27105324483311,
B9J08_004176,B9J08_04930,2.232642501,2.25996805085601,
B9J08_001861,B9J08_00331,2.22866037,2.22131581165808,
B9J08_000211,B9J08_02170,2.177339215,2.17057409843916,
B9J08_002830,B9J08_00689,2.163892434,2.16878263429101,
B9J08_004560,B9J08_04519,2.142302469,2.1313595885941,
B9J08_002847,B9J08_00706,2.135264739,2.13320120196744,
B9J08_001484,B9J08_03734,2.108894526,2.10668051870964,
B9J08_002919,B9J08_00777,2.082422217,2.08468117724423,
B9J08_002940,B9J08_00798,2.082323916,2.07370138772858,
B9J08_000178,B9J08_02137,2.053001254,2.05548055024669,
B9J08_001581,B9J08_00052,2.050865566,2.10462682613748,
B9J08_003628,B9J08_01486,2.042873445,2.03750893016799,
B9J08_000987,B9J08_02945,2.042729595,2.04956929216236,
B9J08_004559,B9J08_04518,2.039970517,2.05789400493904,
B9J08_002012,B9J08_03085,2.029473547,2.03318437410038,
B9J08_004628,B9J08_04587,2.005229378,1.97741638636951,
B9J08_001552,B9J08_00023,1.985906968,1.99144186272097,
B9J08_004365,B9J08_05119,1.915348634,1.9149081142391,
B9J08_002668,B9J08_00528,1.901935076,1.8959929445248,
B9J08_002261,B9J08_05271,1.88528793,1.88841484526533,
B9J08_005380,B9J08_04263,1.867264086,1.87407536201888,
B9J08_002166,B9J08_03239,1.864983413,1.86127003588261,
B9J08_000388,B9J08_02346,1.855629002,1.87124754583136,
B9J08_004148,B9J08_04902,1.83859351,1.84304267618978,
B9J08_002239,B9J08_05249,1.83719299,1.8356814104664,
B9J08_004477,B9J08_04436,1.833153457,1.80256509498337,
B9J08_004905,B9J08_03788,1.826470329,1.83184534501246,
B9J08_004324,B9J08_05078,1.807221971,1.80677259210443,
B9J08_002825,B9J08_00684,1.804897175,1.80629059702604,
B9J08_004167,B9J08_04921,1.803291155,1.80329106008944,
B9J08_004840,B9J08_04800,1.797889194,1.77837208475386,
B9J08_000592,B9J08_02550,1.79647397,1.76575345473824,
B9J08_003109,B9J08_00967,1.784507901,1.77454899522271,
B9J08_005394,B9J08_04277,1.779222383,1.76326030072626,
B9J08_000581,B9J08_02539,1.775123218,1.77316382701979,
B9J08_000849,B9J08_02807,1.764802145,1.76990801854843,
B9J08_002624,B9J08_00484,1.763382585,1.75801433561642,
B9J08_003514,B9J08_01373,1.73567433,1.72245743140806,
B9J08_001956,B9J08_03029,1.732207345,1.71324575186822,
B9J08_000594,B9J08_02552,1.722071303,1.72600696686122,
B9J08_000398,B9J08_02356,1.717495093,1.74062418286035,SAP7
B9J08_001551,B9J08_00022,1.708787881,1.71584095205356,
B9J08_001613,B9J08_00083,1.707778924,1.70273011653905,
B9J08_000007,B9J08_01966,1.691857119,1.69017530904135,
B9J08_001538,B9J08_00009,1.683834749,1.6943098451619,
B9J08_001323,B9J08_03573,1.679460215,1.65875598045504,
B9J08_002707,B9J08_00566,1.67784082,1.67606061267719,
B9J08_003466,B9J08_01325,1.668693237,1.65934557591907,
B9J08_004892,B9J08_04852,1.66375017,1.66859951286233,
B9J08_004831,B9J08_04791,1.662637549,1.65540302288502,
B9J08_003167,B9J08_01025,1.661568244,1.66471184746624,
B9J08_002423,B9J08_05433,1.647947837,1.65100396090707,
