pub_gene,our_gene,pub_lfc,our_lfc
B9J08_004928,B9J08_03811,-1.395112927,-1.48959432450463
B9J08_000990,B9J08_02948,1.848935452,2.62394927389708
B9J08_004310,B9J08_05064,-1.123351253,-1.16855511496104
B9J08_000905,B9J08_02863,1.202104382,1.36393064863513
B9J08_002694,B9J08_00553,-1.604115578,-1.94670011874771
B9J08_001918,B9J08_00388,-1.162541209,-1.358034335269
B9J08_004562,B9J08_04521,1.315432517,1.83252088436269
B9J08_002480,B9J08_05490,-1.313176259,-1.81779947881221
B9J08_002234,B9J08_03307,-1.782076538,-1.80021894593303
B9J08_005201,B9J08_04084,-1.008848625,-1.02464805007215
B9J08_001940,B9J08_00410,-2.919199546,-3.81952753275753
B9J08_001524,B9J08_03774,1.243019529,2.32278835541876
B9J08_001834,B9J08_00304,-1.489213414,-1.5039289417144
B9J08_000030,B9J08_01989,-1.340268862,-1.45149383912109
B9J08_001171,B9J08_03421,-2.336151385,-2.92444396135413
B9J08_001521,B9J08_03771,1.114673544,1.81522635308156
B9J08_004292,B9J08_05046,1.111042668,1.12731135893362
B9J08_000447,B9J08_02405,-1.341714548,-3.22064253639895
B9J08_002847,B9J08_00706,1.125504502,1.16492701401603
B9J08_004192,B9J08_04946,1.643332067,1.69090954223116
B9J08_000874,B9J08_02832,-1.379814039,-1.699949915314
B9J08_001875,B9J08_00345,-1.122794614,-1.13685747508734
B9J08_001482,B9J08_03732,1.0524964,1.07395716581217
B9J08_004441,B9J08_05195,-1.296864337,-1.39513415981471
B9J08_001526,B9J08_03776,1.033010158,4.43007759655261
B9J08_001930,B9J08_00400,-1.526008986,-1.5468585301127
B9J08_003038,B9J08_00896,-1.09253133,-1.10761320998942
B9J08_005580,B9J08_01062,1.818105508,1.85205005654775
B9J08_001951,B9J08_03024,-2.015457446,-2.03966884899298
B9J08_002669,B9J08_00529,1.860189606,1.90369853907611
B9J08_000512,B9J08_02470,-1.525857096,-1.60418290745965
B9J08_004101,B9J08_01958,1.375941014,3.34591168341836
B9J08_005226,B9J08_04109,-1.08580544,-1.28474012768231
B9J08_004188,B9J08_04942,-1.266334664,-1.37533611545062
B9J08_003541,B9J08_01399,-1.094243441,-1.1613264597561
B9J08_005075,B9J08_03958,-1.575213991,-2.54628370556697
B9J08_004790,B9J08_04750,1.110531311,1.51204488982355
B9J08_000863,B9J08_02821,1.236084759,1.39294601161527
B9J08_000003,B9J08_01962,1.040987092,0.93924515843673
B9J08_003830,B9J08_01688,1.131508274,1.14444950336439
B9J08_000834,B9J08_02792,1.110446375,1.22413168300241
B9J08_005172,B9J08_04055,1.086125776,1.2092528547713
B9J08_002309,B9J08_05319,-1.441157335,0.547151464456201
B9J08_004375,B9J08_05129,-1.096957443,-1.10881396959386
B9J08_002628,B9J08_00488,2.069397134,2.5271826490569
B9J08_004553,B9J08_04512,1.053058829,1.24339291437746
B9J08_001787,B9J08_00257,1.448209515,1.50277441335474
B9J08_000446,B9J08_02404,1.175757941,1.8384684440189
B9J08_003772,B9J08_01630,-1.08966027,-1.14093707286203
B9J08_001125,B9J08_03375,-2.334460391,-2.37960232469102
B9J08_002108,B9J08_03181,-2.175749999,-2.19296057840654
B9J08_003306,B9J08_01167,-4.719557718,-5.06621103945576
B9J08_001986,B9J08_03059,1.113345689,1.47937020642765
B9J08_004797,B9J08_04757,-2.175808396,-2.20620865756945
B9J08_002761,B9J08_00620,-1.138317323,-1.15360732569618
B9J08_000686,B9J08_02644,1.771571572,1.81188497898399
B9J08_004171,B9J08_04925,-2.20466969,-2.80100072323709
B9J08_003998,B9J08_01855,1.032131975,1.13051400990471
B9J08_002691,B9J08_00550,-1.701590956,-2.13963938964124
B9J08_001531,B9J08_00002,1.235314345,1.62431652904814
B9J08_001525,B9J08_03775,1.075733946,0.530968257278703
B9J08_001740,B9J08_00210,1.397495748,1.42577032597649
B9J08_001660,B9J08_00130,1.448814802,1.51412153114045
B9J08_003908,B9J08_01766,1.255466852,1.37509588515438
B9J08_001529,B9J08_03779,1.322917684,2.72689735249937
B9J08_003267,B9J08_01128,1.031773952,1.34409613429203
B9J08_004863,B9J08_04823,-1.218931472,-1.27204051194341
B9J08_000694,B9J08_02652,1.404455515,1.45413802240846
B9J08_004309,B9J08_05063,-1.411352851,-1.43541905668261
B9J08_005114,B9J08_03997,-1.224828933,-1.46977909265132
B9J08_002529,B9J08_05539,-1.588516321,-1.68990122845621
B9J08_004387,B9J08_05141,1.641806401,1.4469968095865
B9J08_001448,B9J08_03698,-1.338473452,-1.3602895677123
B9J08_004786,B9J08_04746,-2.137462304,-2.18489218488077
B9J08_000594,B9J08_02552,-1.385145291,-1.44229178407402
B9J08_003003,B9J08_00861,-2.338135647,-6.15666191020295
B9J08_000915,B9J08_02873,1.071537338,1.09836296306387
B9J08_001860,B9J08_00330,-1.065117782,-1.12340804928885
B9J08_002261,B9J08_05271,-1.077212582,-1.09330218580787
B9J08_003374,B9J08_01235,1.054342458,1.08876665135999
B9J08_003903,B9J08_01761,-1.166020458,-1.26081742104154
B9J08_004534,B9J08_04493,1.500226953,2.25814941248732
B9J08_001714,B9J08_00184,-1.306030601,-2.42239844424382
B9J08_004775,B9J08_04735,-1.478955643,-1.57615909108221
B9J08_004451,B9J08_05205,2.343816476,-0.0798508848391957
B9J08_004026,B9J08_01883,-1.416042753,-2.24230723458374
B9J08_000701,B9J08_02659,-1.962501289,-1.99608516636111
B9J08_003737,B9J08_01595,-1.183879733,-1.21015482930709
B9J08_000709,B9J08_02667,-1.778984103,-0.576558980199683
B9J08_005563,B9J08_05243,1.403535357,2.10130961988461
B9J08_002248,B9J08_05258,-1.113818919,-1.33192142949779
B9J08_002499,B9J08_05509,-1.213297573,-1.25704969495522
B9J08_002729,B9J08_00588,-1.29434163,-1.31343747101023
B9J08_003550,B9J08_01408,-1.553051919,-2.4545720033796
B9J08_001205,B9J08_03455,-1.521639447,-1.60711439763164
B9J08_000988,B9J08_02946,1.161692133,1.24006715994638
B9J08_002889,B9J08_00748,-1.187658861,-1.23079764295351
B9J08_000261,B9J08_02220,-1.316713374,-1.34068145910506
B9J08_005552,B9J08_05232,1.398992862,1.45728659984794
B9J08_004476,B9J08_04435,-2.036356164,-2.32745824579472
B9J08_003657,B9J08_01515,-1.43894025,-1.47333141202628
B9J08_001339,B9J08_03589,-1.157950134,-1.90214668475066
B9J08_005545,B9J08_05225,-2.324007065,-2.3491643340849
B9J08_002976,B9J08_00834,-1.445809885,-1.52669654043294
B9J08_002566,B9J08_05576,-1.277142153,-1.29752227334082
B9J08_003500,B9J08_01359,-1.479931449,-1.52487046458919
B9J08_005300,B9J08_04183,-1.785410319,-1.98915820204052
B9J08_004839,B9J08_04799,-1.543163373,-1.58476734035497
B9J08_001985,B9J08_03058,2.189045627,2.40186585202205
B9J08_002942,B9J08_00800,-1.012351711,-1.20962277866298
B9J08_004888,B9J08_04848,1.06606625,1.48061001577308
B9J08_000517,B9J08_02475,-1.216877915,-1.22820075000885
B9J08_001547,B9J08_00018,-2.251717753,-2.48892685896502
B9J08_002243,B9J08_05253,-1.417373359,-1.55623327283014
B9J08_000936,B9J08_02894,-1.234939117,-1.26544190286811
B9J08_001213,B9J08_03463,-1.031164527,-1.09809411646042
B9J08_001206,B9J08_03456,-1.235180617,-1.37923854294557
B9J08_001313,B9J08_03563,-1.176669177,-1.41333789049556
B9J08_001364,B9J08_03614,1.35617013,1.45203201944098
B9J08_002250,B9J08_05260,1.957713495,2.43241852406761
B9J08_005056,B9J08_03939,-1.327150667,-1.36257638179014
B9J08_001484,B9J08_03734,2.28574143,2.34648453556581
B9J08_005520,B9J08_04402,-1.031751185,-1.53444343427136
B9J08_003909,B9J08_01767,1.356506883,1.42470367937412
B9J08_001748,B9J08_00218,-1.14595568,-1.20521955941411
B9J08_004931,B9J08_03814,2.009755115,2.06507105627412
B9J08_001161,B9J08_03411,-1.370237528,-1.48671792610049
B9J08_003109,B9J08_00967,-2.494102404,-3.34743123439332
B9J08_000997,B9J08_02955,-1.369878632,-1.47631310848936
B9J08_005062,B9J08_03945,1.611623457,1.81888979893962
B9J08_003921,B9J08_01779,1.700070284,2.19284401730163
B9J08_001548,B9J08_00019,-1.926652539,-2.99640223102844
B9J08_005317,B9J08_04200,-1.117571272,-1.25733622439354
B9J08_004840,B9J08_04800,-1.0328063,-1.85925743590933
B9J08_000791,B9J08_02749,-1.791162572,-1.86324258796336
B9J08_001956,B9J08_03029,1.230227109,1.32105619387037
B9J08_004830,B9J08_04790,-1.495704153,-2.33572285121479
B9J08_003678,B9J08_01536,1.013275961,1.04897926265114
B9J08_004324,B9J08_05078,-1.117158642,-1.33519944692481
B9J08_001520,B9J08_03770,1.153062791,1.67222634896489
B9J08_005565,B9J08_05245,1.104916519,1.2020428021527
B9J08_005571,B9J08_04422,1.158358944,1.59426067041561
B9J08_001025,B9J08_02983,-1.930148409,-2.17439464889665
B9J08_002330,B9J08_05340,1.582711277,2.40370214583665
B9J08_005090,B9J08_03973,-1.806894386,-1.96529841233379
B9J08_001741,B9J08_00211,2.616210978,2.84011824444918
B9J08_001523,B9J08_03773,1.302237859,0.702362575468226
B9J08_005490,B9J08_04372,-1.428090839,-1.79716777899865
B9J08_004798,B9J08_04758,1.194500745,1.52735481193327
B9J08_002886,B9J08_00745,-1.981269803,-2.18556416539025
B9J08_001590,B9J08_00060,-3.207170947,-3.5728477248165
B9J08_003722,B9J08_01580,-1.421460733,-1.93677321566815
B9J08_002118,B9J08_03191,-3.207001371,-4.04684959220569
B9J08_004544,B9J08_04503,-4.067377662,-4.71818852633779
B9J08_000479,B9J08_02437,1.01040632,0.713840140780451
B9J08_002588,B9J08_00448,-1.6533099,-1.77298842080871
B9J08_004098,B9J08_01955,1.995286016,2.26256923429544
B9J08_002825,B9J08_00684,-1.247506637,-1.47539782140737
B9J08_000592,B9J08_02550,-1.566165829,-3.10281499318285
B9J08_002593,B9J08_00453,-3.836143836,-5.36025693585512
B9J08_004469,B9J08_05223,-1.828128948,-2.24772028197156
B9J08_001658,B9J08_00128,1.191268705,1.35157217780274
B9J08_001852,B9J08_00322,-1.241324227,-1.40735959293347
B9J08_000938,B9J08_02896,-2.25862653,-2.50590639682897
B9J08_004930,B9J08_03813,2.081789472,2.20393247240286
B9J08_000989,B9J08_02947,1.941086938,2.19425765713517
B9J08_005257,B9J08_04140,-1.242862618,-1.6195683570303
B9J08_001450,B9J08_03700,-2.476782535,-3.31949571403754
B9J08_003632,B9J08_01490,-1.048809891,-1.06115611328886
B9J08_003910,B9J08_01768,-1.244447501,-2.04179752889631
B9J08_004204,B9J08_04958,2.388663618,2.6229365322997
B9J08_004899,B9J08_03782,-3.088926237,-3.15986924225689
B9J08_002141,B9J08_03214,-5.000255643,-5.15871847442456
B9J08_005063,B9J08_03946,-2.705430263,-2.82369230862611
B9J08_003016,B9J08_00874,-3.272322246,-3.84626988939149
B9J08_002231,B9J08_03304,-3.557451621,-4.26653508479504
B9J08_002762,B9J08_00621,-2.569618898,-3.05466189569521
B9J08_001487,B9J08_03737,-3.911091212,-4.05889687867058
B9J08_004378,B9J08_05132,-3.365610296,-3.95043513566761
B9J08_002663,B9J08_00523,-2.672879247,-5.01443082757372
B9J08_002280,B9J08_05290,-1.738808266,-1.81387279565583
B9J08_001292,B9J08_03542,-3.52236499,-4.97788998829025
B9J08_004886,B9J08_04846,-3.017096007,-3.11212582860071
B9J08_004172,B9J08_04926,-2.898547402,-3.74114502405542
B9J08_003517,B9J08_01376,1.931666839,1.97167655675044
B9J08_003981,B9J08_01838,-1.751118489,-2.58516496882935
B9J08_001545,B9J08_00016,2.752198364,2.88348963007106
B9J08_005568,B9J08_04419,2.370579789,2.77463049869923
B9J08_002630,B9J08_00490,-3.021137801,-3.71712131109163
B9J08_002451,B9J08_05461,-4.30435709,-5.30803011040576
B9J08_004787,B9J08_04747,-5.097066468,-6.97826351927091
B9J08_002840,B9J08_00699,-2.640959377,-3.71983111939447
B9J08_004946,B9J08_03829,-2.885293706,-3.47258431718269
B9J08_005429,B9J08_04312,-3.784132611,-4.33106979431498
B9J08_003099,B9J08_00957,-2.650667678,-3.9283968258636
B9J08_000740,B9J08_02698,-2.868459111,-2.91951930268098
B9J08_004331,B9J08_05085,-2.738028546,-3.14577476997324
B9J08_004243,B9J08_04997,4.945654225,5.36920606077029
B9J08_001458,B9J08_03708,-6.675889746,-6.81708493204727
B9J08_001015,B9J08_02973,3.951163642,4.78720047477392
B9J08_002660,B9J08_00520,3.924133142,5.30399577616681
B9J08_004893,B9J08_04853,3.849841114,5.07677226881282
B9J08_003002,B9J08_00860,-6.472832493,-8.03036171705768
