pub_gene,our_gene,pub_lfc,our_lfc
B9J08_004602,B9J08_04561,-1.163815645,-1.22456502188722
B9J08_000811,B9J08_02769,-1.089227807,-1.2142538795114
B9J08_000835,B9J08_02793,1.275763587,-0.140348619177414
B9J08_003569,B9J08_01427,1.027490126,1.05564002283428
B9J08_004545,B9J08_04504,-1.323376411,-2.95020239770713
B9J08_000363,B9J08_02321,-1.336459129,-1.44916524437089
B9J08_001449,B9J08_03699,1.057820828,1.17219178177506
B9J08_000777,B9J08_02735,1.570230997,1.59058827656813
B9J08_000834,B9J08_02792,1.17883663,1.21217420589741
B9J08_000776,B9J08_02734,1.039431269,1.0577138262669
B9J08_000483,B9J08_02441,1.060173236,1.11571380538102
B9J08_004309,B9J08_05063,1.354087698,1.37440174453859
B9J08_002969,B9J08_00827,-1.224355932,-1.26656187541281
B9J08_005300,B9J08_04183,1.233569315,1.29257231576676
B9J08_004183,B9J08_04937,-1.154732832,-2.67158440300349
B9J08_003371,B9J08_01232,1.148706264,1.17292596767524
B9J08_002582,B9J08_05592,2.577130466,3.07295111014178
B9J08_003374,B9J08_01235,-1.097159142,-1.13161842596132
B9J08_003140,B9J08_00998,-1.219789683,-1.28836176544492
B9J08_004738,B9J08_04698,1.016447681,1.02675581193851
B9J08_000874,B9J08_02832,1.131936623,1.23582767833071
B9J08_002481,B9J08_05491,1.235307321,1.33700375060655
B9J08_003908,B9J08_01766,1.374942519,1.44661740361525
B9J08_002560,B9J08_05570,-1.514514918,-1.63273670777776
B9J08_000844,B9J08_02802,-1.022010609,-1.42609033327197
B9J08_005567,B9J08_04418,1.12846888,1.2075240797546
B9J08_002734,B9J08_00593,-1.141469223,-1.1555583741269
B9J08_003016,B9J08_00874,-1.227696357,-1.292596611405
B9J08_005090,B9J08_03973,1.192259249,1.23454975170425
B9J08_000938,B9J08_02896,-1.071897843,-1.15172034707458
B9J08_002565,B9J08_05575,1.408243007,0.245214427781033
B9J08_004331,B9J08_05085,1.111848412,1.19300957701701
B9J08_002735,B9J08_00594,-1.189038467,-1.20449246840664
B9J08_005580,B9J08_01062,-1.094375266,-1.16464938628973
B9J08_002244,B9J08_05254,1.240897559,1.37162096801979
B9J08_004878,B9J08_04838,1.060922855,-0.761076644361745
B9J08_002109,B9J08_03182,1.181858861,1.20160132072701
B9J08_000724,B9J08_02682,-1.293550619,-1.43135206846795
B9J08_002382,B9J08_05392,1.090523117,1.12905918047011
B9J08_001440,B9J08_03690,1.777488639,1.9641283839876
B9J08_005075,B9J08_03958,1.598338758,1.89713126034219
B9J08_001792,B9J08_00262,1.276885336,1.35428756775021
B9J08_002663,B9J08_00523,1.353209172,1.57036603474733
B9J08_001171,B9J08_03421,1.04071259,1.14787921736171
B9J08_002130,B9J08_03203,1.200406071,1.29424842025543
B9J08_001881,B9J08_00351,1.165463172,1.23331055590347
B9J08_004928,B9J08_03811,1.277036266,1.32784976059403
B9J08_005565,B9J08_05245,-1.186099839,-1.32230112313149
B9J08_002800,B9J08_00659,-1.684894624,-1.76186609813475
B9J08_004148,B9J08_04902,-1.283808295,-1.29122300213061
B9J08_002279,B9J08_05289,1.452273035,-0.0968140616847151
B9J08_000059,B9J08_02018,-1.037271426,-1.03859034836349
B9J08_004514,B9J08_04473,-1.092079585,-1.24329410914158
B9J08_004387,B9J08_05141,2.417416525,1.97394586977933
B9J08_000120,B9J08_02079,-1.202977108,-1.21826212308682
B9J08_003109,B9J08_00967,-3.143548796,-4.67319929111477
B9J08_003891,B9J08_01749,-1.389599252,-3.26561670292591
B9J08_000175,B9J08_02134,-1.133214657,-1.1629074647002
B9J08_003632,B9J08_01490,1.036211206,1.04758097515202
B9J08_005280,B9J08_04163,-1.22677529,-1.27858204896805
B9J08_002630,B9J08_00490,-1.383747101,-1.45465152525136
B9J08_004089,B9J08_01946,-1.436687878,-1.51665669716955
